conversation_root_id,tweet_id,customer_message,intent,context
2304236,2304236,@115821 @118706 Unacceptable.  They do this every single time. https://t.co/6xlvDAZScn,Other/Unclear/non-substantive,"CUSTOMER: @115821 @118706 Unacceptable.  They do this every single time. https://t.co/6xlvDAZScn
AmazonHelp: @668579 I'm sorry your order was left out like this. Please phone or chat with us so we can review options and take carrier feedback regarding these instances: https://t.co/hApLpMlfHN AN"
2954445,2954445,Isn’t it annoying when you’re an amazon prime member but guaranteed delivery is technically 3 days later instead of 2? 🙄 @115821  @117795,Delivery and order fulfillment,"CUSTOMER: Isn’t it annoying when you’re an amazon prime member but guaranteed delivery is technically 3 days later instead of 2? 🙄 @115821  @117795
AmazonHelp: @557737 So sorry for any inconvenience! Two-Day shipping guarantees that once your order leaves our facility, it'll be on the road for two days before it gets to you, but doesn't account for processing time. More info here: https://t.co/T0KHTrtvGM ^BL"
1771701,1771701,@116928 @115821 @532548 A ver si aprendemos que es necesario adosar la factura al paquete para los envíos  a Canarias. Si no todos son devueltos por correos.,Other/Unclear/non-substantive,"CUSTOMER: @116928 @115821 @532548 A ver si aprendemos que es necesario adosar la factura al paquete para los envíos  a Canarias. Si no todos son devueltos por correos.
AmazonHelp: @532547 Lamento el inconveniente Adrián, recuerda que puedes reportar lo sucedido con nuestro Soporte al Cliente. ^AZ
CUSTOMER: @AmazonHelp @116928 @115821 @532548  Por si no lo encuentra https://t.co/Lu8XFOjDz6
CUSTOMER: @AmazonHelp Sí lo se, y si comprueba mis twitts. Podrá comprobar que su soporte al cliente me ha cerrado el chat en las narices. @116928 @115821 @532548"
2850602,2850602,@115821 Surely y'all don't deliver packages like this. Tell me I didn't just find it completely open on my doorstep... Is this a dream? https://t.co/6tVACJnkdA,Delivery and order fulfillment,"CUSTOMER: @115821 Surely y'all don't deliver packages like this. Tell me I didn't just find it completely open on my doorstep... Is this a dream? https://t.co/6tVACJnkdA
AmazonHelp: @792644 I'm so sorry about that, Jarred! We're here to help however we can. Were your items all intact? Let us know! ^BL
CUSTOMER: @AmazonHelp Yes, they are, but I can assure you we'd rather pay more for shipping elsewhere than be Prime customers and jeopardize our order integrity.
AmazonHelp: @792644 We’re always looking to improve, and would love for our Packaging team to hear about this: https://t.co/3SM98QAscA. If you'd like to submit carrier feedback, please contact us here: https://t.co/hApLpMlfHN ^ST"
2309807,2309807,Atendimento da @117086 nota 0 viu!,Other/Unclear/non-substantive,"CUSTOMER: Atendimento da @117086 nota 0 viu!
AmazonHelp: @669916 Olá, Renan. Sem compartilhar informações da sua conta, poderia nos fornecer mais detalhes sobre o acontecido? ^CR
CUSTOMER: @AmazonHelp Mandei DM"
2084613,2084613,@115821 i have been charged for a prime account yet I have never used it and cancelled after the free trial ended well over a year ago?,"Product condition, item accuracy, and seller issues","CUSTOMER: @115821 i have been charged for a prime account yet I have never used it and cancelled after the free trial ended well over a year ago?
AmazonHelp: @616492 Hey Paul, can you let us know how much were you charged exactly? Without posting any personal info please ^BD
CUSTOMER: @AmazonHelp hello, one of the customer service team gave me a call back sorted it! thank you"
775041,775041,@119625 next Telugu releases,Other/Unclear/non-substantive,"CUSTOMER: @119625 next Telugu releases
AmazonHelp: @305175 We are always adding new content to the Amazon Prime Video library. Keep an eye out for the Latest (1/2) ^GK
AmazonHelp: @305175 Movies &amp; Latest TV sections on the homepage. (2/2) ^GK"
279471,279471,"amazon india Sir, I have requested return for my ORDER # 404-3773743-0005168, but there is no pick up yet so please manage the pickup soon.",Delivery and order fulfillment,"CUSTOMER: amazon india Sir, I have requested return for my ORDER # 404-3773743-0005168, but there is no pick up yet so please manage the pickup soon.
AmazonHelp: @182613 Please don't provide your order details, as we consider it to be personal information. Our Twitter page is public.​(2/2) ^KN
AmazonHelp: @182613 Apologies for the trouble you had, have you tried reaching out to our support team here: https://t.co/vlvfJr4nN9 ?(1/2) ^KN"
453316,453316,"@116875 Hola! Disculpen, ¿La app está fallando? Es que no abre nada ni me deja acceder a nada, y ya chequé todo lo demás, ni es mi cel ni mis datos.","Digital products, devices, and apps","CUSTOMER: @116875 Hola! Disculpen, ¿La app está fallando? Es que no abre nada ni me deja acceder a nada, y ya chequé todo lo demás, ni es mi cel ni mis datos.
AmazonHelp: @222559 Hola, Orly. ¿Has intentado desinstalar la aplicación, borrar cookies y volver a instalarla? ^AA"
520721,520721,"For the first time ever this week, I paid extra for two-day shipping from @116090. Four days later, all I have to show for it is an email saying they’re sorry but it won’t arrive on time. #notimpressed",Delivery and order fulfillment,"CUSTOMER: For the first time ever this week, I paid extra for two-day shipping from @116090. Four days later, all I have to show for it is an email saying they’re sorry but it won’t arrive on time. #notimpressed
AmazonHelp: @240209 I'm so sorry for the delay with your order, Chad. Have we been able to provide an updated delivery date for the order? ^HS
CUSTOMER: @AmazonHelp Don’t see one. Track Package still says “Expected 30 Nov”. Last update is arrival scan in Richmond at 10:37 last night.
AmazonHelp: @240209 I'm sorry for the delay with your package! Please contact us here for assistance: https://t.co/hApLpM3Ejd ^MO"
1806469,1806469,There are very few times when I am frustrated with @115821 and this is one of them.,Other/Unclear/non-substantive,"CUSTOMER: There are very few times when I am frustrated with @115821 and this is one of them.
AmazonHelp: @542739 I'm sorry for the frustration, we want to help if possible! Without providing any account information or personal details, please tell us more about what's going on. ^EA"
656054,656054,"Hola @116875 
Deseo saber que si es necesario la tarjeta de crédito o puede ser una tarjeta de débito (Visa) para poder vender productos por medio de su plataforma ???",Other/Unclear/non-substantive,"CUSTOMER: Hola @116875  Deseo saber que si es necesario la tarjeta de crédito o puede ser una tarjeta de débito (Visa) para poder vender productos por medio de su plataforma ???
AmazonHelp: @276070 Hola, Ángel. Por favor utiliza el enlace siguiente para contactarnos por correo electrónico y con mucho gusto remitiremos tu consulta al departamento de ventas de Amazon México para que ellos te brinden la información que necesitas: ^CB"
418999,418999,@115821 My wife is teaching a 2nd grade art lesson at 10am tomorrow  and the supplies were promised to arrive today by same day. #fail :-(,Other/Unclear/non-substantive,"CUSTOMER: @115821 My wife is teaching a 2nd grade art lesson at 10am tomorrow  and the supplies were promised to arrive today by same day. #fail :-(
AmazonHelp: @214941 Oh no! I'm sorry for the delay! Will you tell us who the carrier for your order is here: https://t.co/Y5jpI9gRhE? ^DW
CUSTOMER: @AmazonHelp It is AMZL US. Said guaranteed today when I placed the order.
AmazonHelp: @214941 Thanks for confirming. Please send us the order details here so we can look into this: https://t.co/Au1QHElryx ^BH"
687843,687843,@120533   sérieux ça devient lassant ce genre de mail  bidon. https://t.co/dRKso7yr8k,Other/Unclear/non-substantive,"CUSTOMER: @120533   sérieux ça devient lassant ce genre de mail  bidon. https://t.co/dRKso7yr8k
AmazonHelp: @284282 Bonjour, L'e-mail que vous avez reçu ne provient pas d'Amazon.fr. Nous vous conseillons de ne jamais fournir des détails personnels ou financiers. Vous pouvez le faire suivre à __email__ (en tant que pièce jointe si possible) sans l'ouvrir.  ^MD"
2697146,2697146,@115833 when would it add greetings in local languages??,Other/Unclear/non-substantive,"CUSTOMER: @115833 when would it add greetings in local languages??
AmazonHelp: @757881 Thousands of Indian &amp; global developers are bringing more than 10,000 Alexa skills to customers in India. We'll add them soon. ^SM
CUSTOMER: @AmazonHelp my kid love the LED #Ring that glows. can you put a skill like #RAINBOW colors and have the ring amuse kids all across the globe
AmazonHelp: @757881 That would be a very cool skill, indeed. You never know, we may see that in the future. Appreciate your interest with Echo, Balivada. ^JC"
2609896,2609896,"@AmazonHelp I accidentally bought season 1 of the Dresden Files in my sleep, how would I go about getting a refund?","Returns, refunds, and charges","CUSTOMER: @AmazonHelp I accidentally bought season 1 of the Dresden Files in my sleep, how would I go about getting a refund?
AmazonHelp: @738142 Hi, you can cancel this through your Amazon account. Please refer to our help page on how to do this: https://t.co/AoCNglgOrb ^KI
CUSTOMER: @AmazonHelp I go to the link, but it doesn't show me the order.
AmazonHelp: @738142 Can you contact us here: https://t.co/JzP7hlA23B? ^MC
CUSTOMER: @AmazonHelp Calling worked, thanks for the help. :)
AmazonHelp: @738142 Thats great news! If you ever need anything else we will be more than happy to help 😊 ^SA"
533198,533198,Amazonプライムの30日無料って勝手に継続されるわけじゃないよな？,Other/Unclear/non-substantive,"CUSTOMER: Amazonプライムの30日無料って勝手に継続されるわけじゃないよな？
AmazonHelp: @243529 こんばんは、Amazonです。プライム無料体験申し込み時にもご案内しているように、設定をご変更されなければ、30日間期間終了後、自動的に本会員に移行します。更新をご希望でなければ、設定の変更をお願いいたします。https://t.co/JrKFIyt2XV RI
CUSTOMER: @AmazonHelp どうも
AmazonHelp: @243529 いきなりのリプライ失礼いたしました。ご不明な点がありましたら、どうぞお気軽に公式までお問い合わせください。 RI
CUSTOMER: @AmazonHelp ありがとうございます。 またお世話になります。
AmazonHelp: @243529 これからも末永くご愛顧賜りますよう…。 RI"
1953547,1953547,Hola @116928 ¿sabéis cuando tendréis stock del Xiaomi Mi A1?,Other/Unclear/non-substantive,"CUSTOMER: Hola @116928 ¿sabéis cuando tendréis stock del Xiaomi Mi A1?
AmazonHelp: @579970 Hola, te comento que actualmente no hay stock del producto, te recomiendo estar pendiente de nuestra página web ya que ahí anunciaremos nuestras novedades. ^MB
CUSTOMER: @AmazonHelp pero tenéis previsión de alguna fecha en concreto??
AmazonHelp: @579970 Por el momento no contamos con esa información. Te recomiendo estar atento 🙂 Saludos,  ^DB"
2669993,2669993,"amazonプライム会員になったぞい
PS4で観れるのがデカイ
この冬の引きこもり生活最強ラインナップに死角なし。 https://t.co/fYA2DdFnG7",Other/Unclear/non-substantive,"CUSTOMER: amazonプライム会員になったぞい PS4で観れるのがデカイ この冬の引きこもり生活最強ラインナップに死角なし。 https://t.co/fYA2DdFnG7
AmazonHelp: @751938 ご登録ありがとうございます！(*^^*) いろんな作品がございますので、たくさんご視聴くださいませ♪ なお、Amazonプライムの特典はプライム・ビデオ以外にも様々ございますので、ぜひご活用ください！ https://t.co/qjaFIyMkEk  TN"
1263391,1263391,Amazon just shipped me a 2nd Mario Odyssey.. wait. My order was canceled. WTF. @116090 explain me that.,Delivery and order fulfillment,"CUSTOMER: Amazon just shipped me a 2nd Mario Odyssey.. wait. My order was canceled. WTF. @116090 explain me that.
AmazonHelp: @415886 Can you see the order when you check your account?^CD
CUSTOMER: @AmazonHelp My account got all wiped out 2 weeks ago. I lost everything on it
AmazonHelp: @415886 Amazon accounts can be closed, but retain their order history. Can you attempt to log in to this account to check? ^MJ
CUSTOMER: @AmazonHelp No"
2949354,2949354,"@115821 please fix your awful android app, offline video stops working almost every time when going in the tube. This screen is becoming really annoying. https://t.co/8reGi4b6pL","Digital products, devices, and apps","CUSTOMER: @115821 please fix your awful android app, offline video stops working almost every time when going in the tube. This screen is becoming really annoying. https://t.co/8reGi4b6pL
AmazonHelp: @814525 Oh no! I'm sorry that this is occurring. Have you tried turning the device off then back on? ^GP"
794465,794465,@AmazonHelp Why i am not able to place order? https://t.co/hHBJ1uXLz5,Delivery and order fulfillment,"CUSTOMER: @AmazonHelp Why i am not able to place order? https://t.co/hHBJ1uXLz5
AmazonHelp: @309427 That's unusual. We'd like to check this for you, kindly connect with us here: https://t.co/vlvfJr4nN9 ^SG"
1822300,1822300,Hmm... Would this be a call to @115821 customer service to return or a @38602 manufacturing defect?  Can you spot the flaw? https://t.co/yhnOq7iblt,Customer service escalation and feedback,"CUSTOMER: Hmm... Would this be a call to @115821 customer service to return or a @38602 manufacturing defect?  Can you spot the flaw? https://t.co/yhnOq7iblt
AmazonHelp: @547063 Hi Rick sorry to see the speakers were not in your Plantronics headphones. Can you visit our Online Returns Center here: http:https://t.co/DLe9KUYAqA to see what options we have available? ^MI
CUSTOMER: @AmazonHelp Nice try @AmazonHelp but you missed it.  @38602 want to give it a go?
AmazonHelp: @547063 Oh no! Just spotted the issue. The Right and Left speakers are mixed up. We'd be happy to help with this issue. You can use the link provided above by ^MI to check your return options. ^ES"
295362,295362,@116928 ENTREGAN UN PAQUETE MIO A UN VECINO SIN TENER MI CONSENTIMIENTO. ACOJONANTE.,Other/Unclear/non-substantive,"CUSTOMER: @116928 ENTREGAN UN PAQUETE MIO A UN VECINO SIN TENER MI CONSENTIMIENTO. ACOJONANTE.
AmazonHelp: @186208 Hola, lamentamos el inconveniente. ¿Ya lo has reportado con el transportista? ^MB"
244129,244129,Eu amo a @115821 https://t.co/OSBk3RrGQP,Other/Unclear/non-substantive,"CUSTOMER: Eu amo a @115821 https://t.co/OSBk3RrGQP
AmazonHelp: @173987 Só procuramos sua felicidade, Jean 💓 ^LG"
2966415,2966415,@115821 all my #prime #packages are arriving after the guaranteed 2 days. #wtf ?? #ishouldcancel #brokenpromises,Prime membership and benefits,"CUSTOMER: @115821 all my #prime #packages are arriving after the guaranteed 2 days. #wtf ?? #ishouldcancel #brokenpromises
AmazonHelp: @818382 I'm sorry to hear your items aren't arriving as expected. Have we missed the delivery date given in your confirmation e-mail here: https://t.co/q0dpvb2v9x? ^KP"
286329,286329,"@115850 @115821 
Didn't get any resolution from you guys.
U keep deducting money for the same thing. @115850 and @115821 please help.",Other/Unclear/non-substantive,"CUSTOMER: @115850 @115821  Didn't get any resolution from you guys. U keep deducting money for the same thing. @115850 and @115821 please help.
AmazonHelp: @184212 Apologies. Kindly share your details here: https://t.co/ZEGjFWQWeH I'll check this for you. ^AR"
818212,818212,@115821 the fire TV stick is such an incredible piece of Shit.,"Digital products, devices, and apps","CUSTOMER: @115821 the fire TV stick is such an incredible piece of Shit.
AmazonHelp: @314886 I'm sorry for the frustration! Without sharing personal account/order details can you tell us what's going on? ^JA"
287399,287399,@115850 Can you send me the image of recipient of Order # 171-0337232-8854778 ? I haven't received the order in person.,Delivery and order fulfillment,"CUSTOMER: @115850 Can you send me the image of recipient of Order # 171-0337232-8854778 ? I haven't received the order in person.
AmazonHelp: @184484 Please don’t provide your order details as it is personal information. Our page is visible to the public.2/2^HN
AmazonHelp: @184484 Sorry for the hassle. Please report this to our support team here: https://t.co/vlvfJr4nN9 and we'll check this. 1/2^HN"
718375,718375,"@115850 @118919 why don't you have this banner on top to explore new and interesting finds? Used it in US and It really works! If you're keen, my startup can help you curate. Get it touch :) https://t.co/jVoJjcj9W9","Product condition, item accuracy, and seller issues","CUSTOMER: @115850 @118919 why don't you have this banner on top to explore new and interesting finds? Used it in US and It really works! If you're keen, my startup can help you curate. Get it touch :) https://t.co/jVoJjcj9W9
AmazonHelp: @291996 Thank you for sharing your idea. Kindly reach out to our support team here:https://t.co/vlvfJr4nN9 and we'll have a look into it. ^EM"
1381516,1381516,Amazonさんって発送した扱いにしてるけど実は届いてないみたいなことあるの,Other/Unclear/non-substantive,"CUSTOMER: Amazonさんって発送した扱いにしてるけど実は届いてないみたいなことあるの
AmazonHelp: @441545 アマゾンです。配達完了になっているのに、届いていない状況でしょうか。メール便の場合、ポスト投函にて配達完了とさせていただいております。お手数ですが、ご確認いただけますでしょうか。https://t.co/5khLZQfffG ET
CUSTOMER: @AmazonHelp ポストにもないです……確認してもらってます
AmazonHelp: @441545 ご心配をおかけしております。カスタマーサービスに連絡中の場合は、恐れ入りますが返答をお待ちください。 解決しない、またはカスタマーサービスに連絡されていない場合はお問い合わせください。https://t.co/J6YEizo6qC　MH"
1278029,1278029,Still there is no action taken about service in Marathi Language in Maharastra. @115850 @115821 @AmazonHelp,Other/Unclear/non-substantive,"CUSTOMER: Still there is no action taken about service in Marathi Language in Maharastra. @115850 @115821 @AmazonHelp
AmazonHelp: @153416 I've noted your comments and will be sure to forward this as a feedback internally and make sure this is worked (1/2) ^SS
AmazonHelp: @153416 upon in the future. Also, do keep us posted for any further assistance. (2/2) ^SS
CUSTOMER: @AmazonHelp 2 nd remind"
345891,345891,"@AmazonHelp Does Amazon Canada offer @2293 keys, or is it just physical copies for PC games?","Pricing, offers, and product availability","CUSTOMER: @AmazonHelp Does Amazon Canada offer @2293 keys, or is it just physical copies for PC games?
AmazonHelp: @198313 We'd like to help, is this in reference to a specific game? Can you link us to the product page? ^AG
CUSTOMER: @AmazonHelp I am looking for the following game: https://t.co/PcxEP67pEf
AmazonHelp: @198313 Looking at this title, I'm not seeing any specific support or digital version via Steam is included with the DVD. ^JR"
2748344,2748344,"@117086 pessoal, comprei um ebook na promo dos livros em inglês e recebi R$5 para usar em outra compra, mas quando entro na lista de livros habilitados para a promoção e tento comprar, aparece a mensagem: Desculpe
Não encontramos mais informações sobre essa promoção.",Other/Unclear/non-substantive,"CUSTOMER: @117086 pessoal, comprei um ebook na promo dos livros em inglês e recebi R$5 para usar em outra compra, mas quando entro na lista de livros habilitados para a promoção e tento comprar, aparece a mensagem: Desculpe Não encontramos mais informações sobre essa promoção.
AmazonHelp: @333168 Olá Patrícia. Neste caso recomendamos entrar em contato com o nosso SAC, por favor, acesse o seguinte link: https://t.co/qGpkDwGRhX ^HC"
438747,438747,@AmazonHelp i got a package last week and it arrived with the box open. i checked the item last night and it's dented. i need a replacement.,Delivery and order fulfillment,"CUSTOMER: @AmazonHelp i got a package last week and it arrived with the box open. i checked the item last night and it's dented. i need a replacement.
AmazonHelp: @219249 I'm sorry your order arrived damaged! Was it shipped directly by Amazon or Third-Party Seller: https://t.co/Y5jpI9gRhE? ^ME
CUSTOMER: @AmazonHelp shipped directly by amazon.
AmazonHelp: @219249 Thanks for the info! Here is some helpful info on how to return/replace damaged items: https://t.co/DL007e2zgP. ^AD"
2983720,2983720,@116090 - how is this called 2 day shipping with #Prime? https://t.co/c0no241JoH,Delivery and order fulfillment,"CUSTOMER: @116090 - how is this called 2 day shipping with #Prime? https://t.co/c0no241JoH
AmazonHelp: @822782 I'm sorry for the frustration! Prime One-Day and Two-Day Shipping refers to business days in transit once shipped, and doesn't include any processing time. We'll always show the most accurate delivery date during checkout and in your confirmation email. ^LL"
285639,285639,Hey @115850 was expecting two packages today. Didn't get any. Pls check!,Other/Unclear/non-substantive,"CUSTOMER: Hey @115850 was expecting two packages today. Didn't get any. Pls check!
AmazonHelp: @184042 Request you to connect with our support team for this, using this link: https://t.co/vlvfJr4nN9 and it'll be sorted.^SK
CUSTOMER: @AmazonHelp Received one of the two packages. Thanks!
AmazonHelp: @184042 We're glad that you've received the order. Do keep us posted for further concern. ^SG"
411117,411117,"@129773 quick question when is the next ep of Outlander airing? Do we, the UK have to wait 2 weeks for ep 306?",Other/Unclear/non-substantive,"CUSTOMER: @129773 quick question when is the next ep of Outlander airing? Do we, the UK have to wait 2 weeks for ep 306?
AmazonHelp: @213051 We currently don't have any further information. Please be sure to check back on the video page for any updates! ^TG"
2418968,2418968,@115821 @AmazonHelp @115850 respect customers of Maharashtra and their marathi language. #AmazonInMarathi,Other/Unclear/non-substantive,"CUSTOMER: @115821 @AmazonHelp @115850 respect customers of Maharashtra and their marathi language. #AmazonInMarathi
AmazonHelp: @694983 I get your concern. We'll be sure to forward this internally for further consideration. Appreciate your understanding. ^VN"
1554911,1554911,"Fail, @115821, fail. https://t.co/2Oqriww194",Other/Unclear/non-substantive,"CUSTOMER: Fail, @115821, fail. https://t.co/2Oqriww194
AmazonHelp: @480883 Bonjour, je suis désolée pour cela😓 Veuillez évaluer l'emballage de votre colis via le lien suivant: http:/amzn.To/2y043 Cj ^FT"
1548240,1548240,"Hi @115850, I got this product damaged and open, so went to return it but it isn't eligible for return. Can you help? https://t.co/WixxKWep9l","Product condition, item accuracy, and seller issues","CUSTOMER: Hi @115850, I got this product damaged and open, so went to return it but it isn't eligible for return. Can you help? https://t.co/WixxKWep9l
AmazonHelp: @147145 Sorry that you have received damaged product. Please report this to our support team here  https://t.co/vlvfJr4nN9. ^AR"
2776364,2776364,@118919 Order ID: 406-6562388-3825941  your delivery person refused to deliver at my PLACE yesterday and today also same thing. Even after multiple complaints to ur customer care. No action Taken. DISAPPOINTED WITH YOUR SERVICE THIS TIME.,Delivery and order fulfillment,"CUSTOMER: @118919 Order ID: 406-6562388-3825941  your delivery person refused to deliver at my PLACE yesterday and today also same thing. Even after multiple complaints to ur customer care. No action Taken. DISAPPOINTED WITH YOUR SERVICE THIS TIME.
AmazonHelp: @775760 We would like to help you. Please share your details with us here: https://t.co/GIJyeYqKE0. We'll get in touch shortly. Please don't provide your order details as we consider it personal information. Our twitter page is visible to public.^CB"
