example_id,tweet_id,conversation_root_id,customer_message,context,intent,expected_escalation,escalation_reason,label_source,annotation_status,reviewer_intent,reviewer_expected_escalation,reviewer_notes
amz-0011,166518,166518,Después de 1 mes ! @115821 #fail #uddisculpejoven @116875 https://t.co/50pntyQOU8,"CUSTOMER: Después de 1 mes ! @115821 #fail #uddisculpejoven @116875 https://t.co/50pntyQOU8
AmazonHelp: @154677 ¡Hola, Alex! ¿El producto es vendido y enviado por Amazon o por un vendedor externo que utiliza nuestra plataforma? ^LC
CUSTOMER: @AmazonHelp por Amazon
AmazonHelp: @154677 Comprendo, Alex. Te recomendamos que contactes a nuestro departamento de Servicio al Cliente en el siguiente enlace: https://t.co/eJXKURvpr8 para verificar con más detalles lo que sucedió con tu pedido. ^AA",Other/Unclear/non-substantive,ESCALATE,Security or insufficient-information risk,weak_rule_generated,needs_manual_review,"Returns, refunds, and charges",AUTO_HANDLE,
amz-0012,158671,158671,@119625 when can I expect Kannada movies ?,"CUSTOMER: @119625 when can I expect Kannada movies ?
AmazonHelp: @152476 We currently do not have a tentative date regarding this. Regional content is an integral part of our content in India. Please stay tuned as we expand our content selection. ^MP",Other/Unclear/non-substantive,ESCALATE,Security or insufficient-information risk,weak_rule_generated,needs_manual_review,Prime membership and benefits,AUTO_HANDLE,
amz-0013,404050,404050,I spend soo much $$ buying books for my Kindle and have now realized my Prime membership gives me thousands of free reads. 😭 ILY @115821!!!,"CUSTOMER: I spend soo much $$ buying books for my Kindle and have now realized my Prime membership gives me thousands of free reads. 😭 ILY @115821!!!
AmazonHelp: @211637 Send an S.O.S. to your friends in case they don't hear from you for a few weeks! 😂","Digital products, devices, and apps",AUTO_HANDLE,Concrete intent with sufficient information,weak_rule_generated,needs_manual_review,Prime membership and benefits,ESCALATE,
amz-0014,985059,985059,"@115850 ordered fish capsules. What i got is putrified remains &amp; stones. Cle
arly there are no checks. #disgusting #TerribleQuality https://t.co/cSFDc6NBdg","CUSTOMER: @115850 ordered fish capsules. What i got is putrified remains &amp; stones. Cle arly there are no checks. #disgusting #TerribleQuality https://t.co/cSFDc6NBdg
AmazonHelp: @353491 We apologize for the hassle. Allow our support team to investigate this. You can report this here: https://t.co/R3EfhzgU8B ^CB.
CUSTOMER: @AmazonHelp My money is refunded. But the point is that there is no check before u send things. used to blindly trust your deliveries now i will check.
AmazonHelp: @353491 I'm sorry about that. I'll surely pass on your feedback to the concerned team. ^GD",Other/Unclear/non-substantive,ESCALATE,Security or insufficient-information risk,weak_rule_generated,needs_manual_review,"Returns, refunds, and charges",AUTO_HANDLE,
amz-0015,1062306,1062306,@AmazonHelp hi why is gt sport out on the 18th but sony say the 17th ?,"CUSTOMER: @AmazonHelp hi why is gt sport out on the 18th but sony say the 17th ?
AmazonHelp: @139371 The October 17 release date is for the U.S., the UK release date is October 18. Official page: https://t.co/14nipUVodd ^JR",Other/Unclear/non-substantive,ESCALATE,Security or insufficient-information risk,weak_rule_generated,needs_manual_review,Account access and security,ESCALATE,
amz-0016,2652330,2652330,"Hey @115850 am i eligible for ₹99 cashback?? @AmazonHelp 

@115823 

Cc: @120602 https://t.co/VIvd5BSA8w","CUSTOMER: Hey @115850 am i eligible for ₹99 cashback?? @AmazonHelp   @115823   Cc: @120602 https://t.co/VIvd5BSA8w
AmazonHelp: @132287 Please don’t provide your details as we consider them to be personal information. Our Twitter page is public. 2/2 ^SH
AmazonHelp: @132287 Twitter is a social media platform we'll not be able to access any of your account/order details. If the terms and conditions mentioned here: https://t.co/lKDMpfSxEw are met, then you shall receive the cashback. 1/2 ^SH",Other/Unclear/non-substantive,ESCALATE,Security or insufficient-information risk,weak_rule_generated,needs_manual_review,"Digital products, devices, and apps",AUTO_HANDLE,
amz-0017,142953,142953,@8388 security researchers already breaking amazon key. No need to steal from the porch when you can get in!  https://t.co/Pp0KPOHMjE,"CUSTOMER: @8388 security researchers already breaking amazon key. No need to steal from the porch when you can get in!  https://t.co/Pp0KPOHMjE
AmazonHelp: @148270 Here is the information to rest you Echo device: https://t.co/8dfllRMOyC  Let us know if you need any other assistance! ^DJ",Account access and security,ESCALATE,Security or insufficient-information risk,weak_rule_generated,needs_manual_review,"Returns, refunds, and charges",AUTO_HANDLE,
amz-0018,2893160,2893160,No singing smiley faces on our parcels...so our my own! @115830 https://t.co/caD9crjm6I,"CUSTOMER: No singing smiley faces on our parcels...so our my own! @115830 https://t.co/caD9crjm6I
AmazonHelp: @801892 Sorry to disappoint! 😋 Way to be creative though! Have you made these smiling parcels sing yet?! ^AB
CUSTOMER: @AmazonHelp Lol...no not yet. I think they are sulking!
AmazonHelp: @801892 As long as they don't start singing Chumbawamba, all will be good in the world. 😂😂 ^AN",Other/Unclear/non-substantive,ESCALATE,Security or insufficient-information risk,weak_rule_generated,needs_manual_review,"Digital products, devices, and apps",ESCALATE,
amz-0019,882506,882506,@AmazonHelp @115830 have been locked out of my account without being notified. Can't access customer service as I need to login.,"CUSTOMER: @AmazonHelp @115830 have been locked out of my account without being notified. Can't access customer service as I need to login.
AmazonHelp: @329555 I'm sorry for the account trouble! Have you received any e-mails from our Account Specialists? Check spam/junk folders too. ^MB
CUSTOMER: @AmazonHelp Nope, no emails or advance warnings.
AmazonHelp: @329555 We'd like to look into this further with you! When you have a chance, please reach out to us here: https://t.co/zYVX1Qi29G ^HC
CUSTOMER: @AmazonHelp Still no response or callback",Customer service escalation and feedback,AUTO_HANDLE,Concrete intent with sufficient information,weak_rule_generated,needs_manual_review,"Pricing, offers, and product availability",AUTO_HANDLE,
amz-0020,2835599,2835599,@115850 what an innovative bookmark. Send more of these 🤗 🔖 https://t.co/1fyivis2ta,"CUSTOMER: @115850 what an innovative bookmark. Send more of these 🤗 🔖 https://t.co/1fyivis2ta
AmazonHelp: @323895 Indeed, an innovative way to bookmark. :) I'll be sure to pass your feedback to the concerned team internally. ^SG",Other/Unclear/non-substantive,ESCALATE,Security or insufficient-information risk,weak_rule_generated,needs_manual_review,Prime membership and benefits,AUTO_HANDLE,
amz-0021,2263025,2263025,"@115830 Prime has failed me again. 3 orders now late. 

What am I paying for? #maybenextday Looks like I won't be renewing next month. https://t.co/GLK9Tx9orc","CUSTOMER: @115830 Prime has failed me again. 3 orders now late.   What am I paying for? #maybenextday Looks like I won't be renewing next month. https://t.co/GLK9Tx9orc
AmazonHelp: @658820 I'm sorry to hear of any delays occurring w/ your deliveries. Please elaborate w/o sharing private details since we have no account level access on Social Media. What has been done to report this for a proper review into a resolve? ^TM
CUSTOMER: @AmazonHelp I was sent an apology for the 'late deliveries' im told to wait until thursday before I report.  One of the orders was from Friday.
AmazonHelp: @658820 I'm sorry to hear we've let you down! What does the most recent tracking information show on your order? You can check here: https://t.co/aaDyEz1VgE. Is there a particular carrier this is happening with? ^BN",Prime membership and benefits,AUTO_HANDLE,Concrete intent with sufficient information,weak_rule_generated,needs_manual_review,"Returns, refunds, and charges",ESCALATE,
amz-0022,990374,990374,"@115830 Yet again, another failed deliver.  No attempt to even call my apartment to say they had arrived!!! Thanks for wasting my time! https://t.co/f9AbD7f0hM","CUSTOMER: @115830 Yet again, another failed deliver.  No attempt to even call my apartment to say they had arrived!!! Thanks for wasting my time! https://t.co/f9AbD7f0hM
AmazonHelp: @195464 Oh no! Sorry for the troubles, Rob. Please contact us via phone or chat: https://t.co/JzP7hlA23B so we can look into this. ^AB",Delivery and order fulfillment,AUTO_HANDLE,Concrete intent with sufficient information,weak_rule_generated,needs_manual_review,Prime membership and benefits,ESCALATE,
amz-0023,2378971,2378971,"I am very happy with @15959 but this is how @115821 delivers it!!! They don’t even bother to deliver to the door, just leave it at @25713 https://t.co/ivryzrayqt","CUSTOMER: I am very happy with @15959 but this is how @115821 delivers it!!! They don’t even bother to deliver to the door, just leave it at @25713 https://t.co/ivryzrayqt
AmazonHelp: @349038 Oh no! I'm sorry about the delivery issue with your order. Please tell me who the shipper was. You can find that information here: https://t.co/hHJD0AR0Kg ^SE
CUSTOMER: @AmazonHelp Dear @AmazonHelp i dont think you are sorry, carrier: AMZL US . I am using monthly subscription service and each month i am requesting “please dont deliver those bulky product to leasing office, deliver to my front door” this is 4th month and you delivered to leasing office again
AmazonHelp: @349038 We'd like to look into this with you. Please send more details about this order here: https://t.co/NUmgjMf1rq ^CL
CUSTOMER: @AmazonHelp So @AmazonHelp i provided more information, will you solve your shipment problems and start delivering to my door?",Delivery and order fulfillment,AUTO_HANDLE,Concrete intent with sufficient information,weak_rule_generated,needs_manual_review,"Digital products, devices, and apps",ESCALATE,
amz-0024,1288895,1288895,"@115821 why does the Kindle app force me to turn my device upside down to read, and why is there no orientation setting to fix this?","CUSTOMER: @115821 why does the Kindle app force me to turn my device upside down to read, and why is there no orientation setting to fix this?
AmazonHelp: @378406 Hmm... With the book open, try rotating your device. See if a small padlock icon appears in the bottom right corner. ^MB
CUSTOMER: @AmazonHelp That did it. Thank you.
AmazonHelp: @378406 Happy to help! We'll be here if there's anything else you need. ^MB
CUSTOMER: @AmazonHelp I'll check again, but so far no.","Digital products, devices, and apps",AUTO_HANDLE,Concrete intent with sufficient information,weak_rule_generated,needs_manual_review,Prime membership and benefits,AUTO_HANDLE,
amz-0025,42558,42558,"@amazonhelp so frustrated with your customer service. Out for delivery/resched then told packing slip torn, then package damaged.No solution","CUSTOMER: @amazonhelp so frustrated with your customer service. Out for delivery/resched then told packing slip torn, then package damaged.No solution
AmazonHelp: @125402 Just to clarify, was the package returned because it was damaged or did you receive a damaged order? ^VS
CUSTOMER: @AmazonHelp I did not receive my order. I missed original delivery, cust service called me and I opted for later delivery.No delivery arrived.
AmazonHelp: @125402 Did we replace the order? When you spoke with us regarding your order, what options did we provide? ^CO
CUSTOMER: @AmazonHelp No options were provided, happy to email the chat transcripts.Just told different stories.I re-ordered won't receive until Friday too late.
AmazonHelp: @125402 Did we mention that the package is being returned since it's damaged? ^WJ
CUSTOMER: @AmazonHelp I don't think the package is damaged.Rather carrier communication issue. Why else the changing stories ?found out about return from email.
AmazonHelp: @125402 Goodness, my apologies for the frustration! Please keep us posted on your new order. We want to help any way we can! ^KN",Delivery and order fulfillment,AUTO_HANDLE,Concrete intent with sufficient information,weak_rule_generated,needs_manual_review,"Returns, refunds, and charges",ESCALATE,
amz-0026,682590,682590,So I bought a new book for my holiday and now it’s not going to possibly be here? Why do I pay for prime? 🤔@AmazonHelp https://t.co/MnXPThi7Kc,"CUSTOMER: So I bought a new book for my holiday and now it’s not going to possibly be here? Why do I pay for prime? 🤔@AmazonHelp https://t.co/MnXPThi7Kc
AmazonHelp: @282897 Sorry to hear about this delay Callum! If your book is too late, you can return it for a full refund when you get back. ^RL
CUSTOMER: @AmazonHelp Your service is absolute dog shit! Now you’ve ruined my Amazon Prime Now order and given me a refund for £2 less than I paid!
AmazonHelp: @282897 Sorry to see the delay. Can you contact us here: https://t.co/JzP7hlA23B? ^MC","Digital products, devices, and apps",AUTO_HANDLE,Concrete intent with sufficient information,weak_rule_generated,needs_manual_review,"Returns, refunds, and charges",ESCALATE,
amz-0027,2278359,2278359,@115850 please provide an tentative date when iphone x will be available again.,"CUSTOMER: @115850 please provide an tentative date when iphone x will be available again.
AmazonHelp: @662460 I get the adrenaline rush, Umang. We haven't made any announcement on this yet. Please stay tuned. ^NK
CUSTOMER: @AmazonHelp Ok
CUSTOMER: @AmazonHelp Any update sir?
AmazonHelp: @662460 I get your excitement, as we don't have an announcement on the timelines yet, you can subscribe yourself here: https://t.co/wqZ7A9eYwK for email notifications regarding the release and availability of iPhone X. ^SU","Pricing, offers, and product availability",AUTO_HANDLE,Concrete intent with sufficient information,weak_rule_generated,needs_manual_review,Prime membership and benefits,ESCALATE,
amz-0028,1595275,1595275,"@115850 I just received JBL c100si earphones, but I'm not sure whether product delivered is genuine JBL product.","CUSTOMER: @115850 I just received JBL c100si earphones, but I'm not sure whether product delivered is genuine JBL product.
AmazonHelp: @336069 contact our team here: https://t.co/vlvfJr4nN9 and we'll have this checked. 2/2 ^GK
AmazonHelp: @336069 All the products sold on Amazon are original and genuine. In case, you are in doubt about the item being genuine, kindly 1/2 ^GK",Delivery and order fulfillment,AUTO_HANDLE,Concrete intent with sufficient information,weak_rule_generated,needs_manual_review,"Returns, refunds, and charges",AUTO_HANDLE,
amz-0029,1286427,1286427,@115825 warum kosten die Staffeln von 24 jetzt das Doppelte von vor ein paar Wochen? Hab mir jetzt die BluRay geholt. Ist günstiger😏,"CUSTOMER: @115825 warum kosten die Staffeln von 24 jetzt das Doppelte von vor ein paar Wochen? Hab mir jetzt die BluRay geholt. Ist günstiger😏
AmazonHelp: @420884 Wir bemühen uns immer um das beste Preis-Leistungs-Verhältnis, sind aber an Lizenzen gebunden. Dein Feedback nehme ich auf. ^SI",Other/Unclear/non-substantive,ESCALATE,Security or insufficient-information risk,weak_rule_generated,needs_manual_review,Account access and security,ESCALATE,
amz-0030,663820,663820,@AmazonHelp it is now 9 PM and my same day order does not show shipped-any update,"CUSTOMER: @AmazonHelp it is now 9 PM and my same day order does not show shipped-any update
AmazonHelp: @277597 I am sorry, Larry. You can check the most recent tracking information here:  https://t.co/Y5jpI9gRhE ^LM
CUSTOMER: @AmazonHelp All it says is that it should already be here....please research a bit rather than send form tweets.  I thought you were supposed to be help-do you think I dont know how to use your web page
AmazonHelp: @277597 I'm sorry for any misunderstanding, our team is unable to access your account or orders via Twitter. For direct assistance, please reach us by choosing ""phone"" or ""chat"" using this link: https://t.co/hApLpMlfHN ^JR
CUSTOMER: @AmazonHelp Now you just changed my delivery from today til Friday...why?  what time?
CUSTOMER: @AmazonHelp as i wrote earlier I have done that three times.  They have as little info as you do.  Why do you call yourself help if you cant help?",Delivery and order fulfillment,AUTO_HANDLE,Concrete intent with sufficient information,weak_rule_generated,needs_manual_review,Account access and security,ESCALATE,
amz-0031,972596,972596,"Amazonからこれ届いた人いる？
なんかいたずららしいからなんか今日本社でこの連絡が多発してるみたいで。
届いてる人いたらおしえてくれ:( ;´꒳`;):ﾌﾟﾙﾌﾟﾙ https://t.co/dXX7jHciQ6","CUSTOMER: Amazonからこれ届いた人いる？ なんかいたずららしいからなんか今日本社でこの連絡が多発してるみたいで。 届いてる人いたらおしえてくれ:( ;´꒳`;):ﾌﾟﾙﾌﾟﾙ https://t.co/dXX7jHciQ6
AmazonHelp: @350702 アマゾンです。こちらは当サイトからのご連絡ではありません。企業を装い個人情報を取得しようとする詐欺が発生しておりますので、記載の番号にはご連絡なさいませんようお願いいたします。こちらもご参照ください。https://t.co/vZPQqiN3lM ET
CUSTOMER: @AmazonHelp え、もう連絡してしまって、名前もいいましたけど
AmazonHelp: @350702 リプライありがとうございます。以後の対処方法については、恐れ入りますが、警察など第三者機関にご相談くださいますようお願いいたします。TN",Other/Unclear/non-substantive,ESCALATE,Security or insufficient-information risk,weak_rule_generated,needs_manual_review,"Digital products, devices, and apps",ESCALATE,
amz-0032,1573005,1573005,"@AmazonHelp I have two expected delivery dates, one saying arriving today by 8pm and the other saying between the 4th and the 7th of Nov","CUSTOMER: @AmazonHelp I have two expected delivery dates, one saying arriving today by 8pm and the other saying between the 4th and the 7th of Nov
AmazonHelp: @484872 Hello there! We have responded to your DM. Please check there. ^AL",Delivery and order fulfillment,AUTO_HANDLE,Concrete intent with sufficient information,weak_rule_generated,needs_manual_review,Prime membership and benefits,ESCALATE,
amz-0033,435151,435151,@116618 hey will mr robot S3 will also be available on Wednesday on prime videos India? Eagerly waiting for this.,"CUSTOMER: @116618 hey will mr robot S3 will also be available on Wednesday on prime videos India? Eagerly waiting for this.
AmazonHelp: @218368 We haven't made any announcement yet. Please stay tuned! ^HN
CUSTOMER: @AmazonHelp 😟",Prime membership and benefits,AUTO_HANDLE,Concrete intent with sufficient information,weak_rule_generated,needs_manual_review,"Pricing, offers, and product availability",ESCALATE,
amz-0034,399147,399147,"Dear @119625, Please PLEASE upload #Brooklyn99 series. It's an extremely good show. Thanks.","CUSTOMER: Dear @119625, Please PLEASE upload #Brooklyn99 series. It's an extremely good show. Thanks.
AmazonHelp: @210370 we highlight the latest movies and TV shows we have available. 2/2 ^SB
AmazonHelp: @210370 We will continue to add new content. Keeping checking https://t.co/FYM9PIZOR8 where 1/2 ^SB",Other/Unclear/non-substantive,ESCALATE,Security or insufficient-information risk,weak_rule_generated,needs_manual_review,Prime membership and benefits,AUTO_HANDLE,
amz-0035,1844493,1844493,"@118706 @115821 Do you consider this a proper delivery? Walks on grass, drops package, leaves it in the rain, and does NOT knock! #service https://t.co/xHIzUpcInp","CUSTOMER: @118706 @115821 Do you consider this a proper delivery? Walks on grass, drops package, leaves it in the rain, and does NOT knock! #service https://t.co/xHIzUpcInp
AmazonHelp: @552587 I'm sorry that this happened to you! Please call/chat us so we can look at this more closely: https://t.co/hApLpMlfHN ^RM
CUSTOMER: @AmazonHelp Will do and thanks for your response!",Delivery and order fulfillment,AUTO_HANDLE,Concrete intent with sufficient information,weak_rule_generated,needs_manual_review,"Digital products, devices, and apps",AUTO_HANDLE,
amz-0036,420218,420218,@115850 pathetic service i am not happy with your service inspite i am prime user of Amazon service.,"CUSTOMER: @115850 pathetic service i am not happy with your service inspite i am prime user of Amazon service.
AmazonHelp: @215174 Sorry to hear that, Ankit.  Could you please elaborate the issue so that we can help you? ^NK
CUSTOMER: @AmazonHelp Seeking resn fr isues i fced:- 1 delivery time increased 2 empty pckg delivrd 3 didn't got rplacmnt on time __email__
AmazonHelp: @215174 Please don't provide your order details, we consider it personal information. Our Twitter page is visible to public.(2/2)^GU
CUSTOMER: @AmazonHelp Ohk Any update on this?
AmazonHelp: @215174 Have you reported this to our support team using the link shared previously? ^HK
CUSTOMER: @AmazonHelp I have spoken to your customer support multiple times, but no avail. Please help resolve it asap. Also, I can`t see any link mentioned above
AmazonHelp: @215174 I'd like to help! Please share your details here: https://t.co/GIJyeYqKE0. ^AG",Prime membership and benefits,AUTO_HANDLE,Concrete intent with sufficient information,weak_rule_generated,needs_manual_review,"Digital products, devices, and apps",ESCALATE,
amz-0037,1700033,1700033,I placed an order on @115821 last night at 9PM. It is at my door already with a picture of my delivery in the app. I love them.,"CUSTOMER: I placed an order on @115821 last night at 9PM. It is at my door already with a picture of my delivery in the app. I love them.
AmazonHelp: @515551 Nothing like a fast delivery to make your Monday! Enjoy your week! ^AF",Delivery and order fulfillment,AUTO_HANDLE,Concrete intent with sufficient information,weak_rule_generated,needs_manual_review,"Pricing, offers, and product availability",AUTO_HANDLE,
