example_id,conversation_root_id,tweet_id,customer_message,context,weak_intent,reviewer_intent,reviewer_notes
human-train-0011,419894,419894,And the 'customer service' email I got was dreadful. Do you have a head office I can contact @115830 ?,"CUSTOMER: And the 'customer service' email I got was dreadful. Do you have a head office I can contact @115830 ?
AmazonHelp: @118232 Hello-Please contact via the below link: https://t.co/JzP7hlA23B and we can transfer your concerns directly. Thank you. ^NV
CUSTOMER: @AmazonHelp I go through that all the time. So unhelpful. I want to make an official complaint.
AmazonHelp: @118232 Did you ask them for the head office details when you were onto them at anytime? ^PK
CUSTOMER: @AmazonHelp I've asked every time I've complained. Never get given it.
AmazonHelp: @118232 My team would like to personally look into this. Fill out the form here:https://t.co/mh2tyPE9qF and we will reach out! ^SA",Customer service escalation and feedback,Account access and security,
human-train-0012,458905,458905,@115821 you need better customer service reps.,"CUSTOMER: @115821 you need better customer service reps.
AmazonHelp: @223983 Please be sure to leave feedback in the survey at the bottom of the e-mail sent after speaking with us. Once completed, these are sent to management for review to help with coaching opportunities. ^EP",Customer service escalation and feedback,Other/Unclear/non-substantive,
human-train-0013,170899,170899,"@115830 Can someone please DM me about your shocking customer service and crap Black Friday ordering.  You’re on a par with @252 right now, and the whole world knows how shit they are! 🤬😠😤","CUSTOMER: @115830 Can someone please DM me about your shocking customer service and crap Black Friday ordering.  You’re on a par with @252 right now, and the whole world knows how shit they are! 🤬😠😤
AmazonHelp: @155855 We'd like to help! Please use the link below to DM with us. As a reminder we don't have access to your Amazon account; please refrain from providing personal or account details.  ^AG https://t.co/1XyLaGkcaN
CUSTOMER: @AmazonHelp Are you able to trace online chats or do I need to screenshot what is happening ? I am beyond fed up with the *help* I’ve got tonight! 😤
AmazonHelp: @155855 For security, we are unable to view customer account details on Twitter. However, our chats are recorded. Please let us know what's going on. ^BH
CUSTOMER: @AmazonHelp It is far too long winded to discuss on Twitter. I have got nowhere with live chat. Am fed up with the way I’ve been treated by your customer services tonight 😩😤 What do I do now?
AmazonHelp: @155855 Understood. Without posting account or order details, can you please tell us about the initial issue you were trying to get resolved when you contacted us? https://t.co/1XyLaGkcaN",Customer service escalation and feedback,Delivery and order fulfillment,
human-train-0014,1652952,1652952,My father ordered Nokia Mobile through @115821 @AmazonHelp  406-8754407-4666755 Agent(8849797051) this what he got https://t.co/fGpG9w1XK5,"CUSTOMER: My father ordered Nokia Mobile through @115821 @AmazonHelp  406-8754407-4666755 Agent(8849797051) this what he got https://t.co/fGpG9w1XK5
AmazonHelp: @504628 Also, as this a social medial platform, please don't provide order details. We consider it personal information.^HR
CUSTOMER: @AmazonHelp If you think it matters then pls take some action..this is no lone case. Reputation matters then dont cheat ppl..trust issues with big brand
CUSTOMER: @AmazonHelp We stand to lose money you lose #credibility #trust #name if such things dont come out in public there will b more instances @AmazonHelp
AmazonHelp: @504628 Have you reported this to our support team here: https://t.co/2t6DQoUmNZ ? (2/2)^HR
CUSTOMER: @AmazonHelp Yes very much but no concrete, assured reply we got
AmazonHelp: @504628 Let us look into it. Please share your details from the link here: https://t.co/beaaDm0muc to assist you accordingly. ^HR
AmazonHelp: @504628 I’m sorry about the issue you’re facing with order. Let us look into it. (1/2)^HR",Customer service escalation and feedback,"Product condition, item accuracy, and seller issues",
human-train-0015,2117726,2117726,@137120 I applied for the post of Area Manager - 552821 a month ago but haven't received any response yet. Request you to review my application.,"CUSTOMER: @137120 I applied for the post of Area Manager - 552821 a month ago but haven't received any response yet. Request you to review my application.
AmazonHelp: @624151 to the email correspondence for further assistance. Appreciate your understanding. 3/3 ^NK
AmazonHelp: @624151 not have any information regarding this. Request you to get in touch with the particular team directly or respond 2/3 ^NK
AmazonHelp: @624151 I get your concern, Sparsh. However, I'd like to inform you that we will provide services to the customers and we will 1/3 ^NK",Customer service escalation and feedback,"Pricing, offers, and product availability",
human-train-0016,357332,357332,@115850 Hello How to talk to one of your representative. your number 1800 3000 9009 just redirect me to amazon.in,"CUSTOMER: @115850 Hello How to talk to one of your representative. your number 1800 3000 9009 just redirect me to amazon.in
AmazonHelp: @200854 You can call us here: https://t.co/vlvfJr4nN9 we'll be happy to help. ^SG",Customer service escalation and feedback,"Product condition, item accuracy, and seller issues",
human-train-0017,1384190,1384190,"Bad experience , not a sense of customer Service or cost saving at all..... @115830 #disappointed","CUSTOMER: Bad experience , not a sense of customer Service or cost saving at all..... @115830 #disappointed
AmazonHelp: @442124 I'm sorry to hear we've disappointed you! Without posting personal account information, can you tell us more? ^KP
CUSTOMER: @AmazonHelp Have dm you",Customer service escalation and feedback,"Returns, refunds, and charges",
human-train-0018,2946977,2946977,Good morning @115833 Whom can a chat with about Agent Neo in Indianapolis? @115821,"CUSTOMER: Good morning @115833 Whom can a chat with about Agent Neo in Indianapolis? @115821
AmazonHelp: @813949 Hi, we don't have access to any of your details here. Without posting any account details, can you tell us a bit more? ^BZ",Customer service escalation and feedback,Prime membership and benefits,
human-train-0019,382398,382398,I told so many times to amazon customer care but no response. Really its a worst customer service on Amazon @115850 ❌🚫 https://t.co/IzxSbLuay5,"CUSTOMER: I told so many times to amazon customer care but no response. Really its a worst customer service on Amazon @115850 ❌🚫 https://t.co/IzxSbLuay5
AmazonHelp: @206653 We can't access your Amazon account over Twitter. Kindly share the same over the secure link we have shared. ^CB
CUSTOMER: @AmazonHelp Defective product https://t.co/V57dd68EEH
AmazonHelp: @206653 Rakesh, as mentioned earlier, please share the details via the link provided earlier and we'll reach out to you. ^MS",Customer service escalation and feedback,"Pricing, offers, and product availability",
human-train-0020,2238672,2238672,I have never experience worse customer service in my entire life than with @115830 @AmazonHelp over the last few days. It seems customer service is just sticking to a script instead of answering questions. #Amazon,"CUSTOMER: I have never experience worse customer service in my entire life than with @115830 @AmazonHelp over the last few days. It seems customer service is just sticking to a script instead of answering questions. #Amazon
AmazonHelp: @652753 Hi! We want you to have positive engagements with our customer service, I'm sorry that this is not your experience. We can't access your account via Twitter, but maybe we can provide answers. Please explain your issue without giving us sensitive information. ^DA
CUSTOMER: @AmazonHelp Long story short. Christmas present package delivered in manufacturer’s box with no mention that this would be the case when ordering (as I’ve had in the past). Christmas surprise ruined. Customer service response = we’ll pass this on, sorry about that.
AmazonHelp: @652753 Oh no! Sorry about that! Can you please link us to the item? We want to make sure this is fixed for other deliveries. You can find some helpful information of Frustration Free Packaging here: https://t.co/7ZPj9yxCzz I hope this helps! ^AD
CUSTOMER: @AmazonHelp Thanks for confirming my initial frustration with stock responses with a stock response",Customer service escalation and feedback,"Digital products, devices, and apps",
human-train-0021,466717,466717,Getting more and more frustrated with @115821. Increasing number of things arriving banged up and looking used. Hardly the way Christmas gifts should look.... https://t.co/vuytZhNxBy,"CUSTOMER: Getting more and more frustrated with @115821. Increasing number of things arriving banged up and looking used. Hardly the way Christmas gifts should look.... https://t.co/vuytZhNxBy
AmazonHelp: @226073 I'm sorry your order arrived that way! Was it shipped to you from Amazon or one of our third party sellers? ^AH
CUSTOMER: @AmazonHelp It was from Amazon. Thanks for the prompt reply.
AmazonHelp: @226073 Thank you for that information. Unfortunately, we are not able to view account information in Twitter. Please click here:  https://t.co/hApLpMlfHN so that a team member can assist you on this matter. ^TL","Product condition, item accuracy, and seller issues",Prime membership and benefits,
human-train-0022,517590,517590,I have well over 1000 @115821 orders — for the first time they sent me the wrong item. @23564 motion sensor instead of the multipurpose sensor,"CUSTOMER: I have well over 1000 @115821 orders — for the first time they sent me the wrong item. @23564 motion sensor instead of the multipurpose sensor
AmazonHelp: @127329 I'm sorry the wrong item arrived. Please see your available return/replacement options here: https://t.co/SmDNGUOJuG. Let us know if you need any thing else. ^CL
CUSTOMER: @AmazonHelp Already called in but really surprised — see the mislabeling in other tweet I sent to @23564","Product condition, item accuracy, and seller issues","Pricing, offers, and product availability",
human-train-0023,1267106,1267106,@115821 I used to get all my packages in 2 Days as a part of Prime but now it’s more like 4. Same for my spouse. No bueno. Also USPS sucks.,"CUSTOMER: @115821 I used to get all my packages in 2 Days as a part of Prime but now it’s more like 4. Same for my spouse. No bueno. Also USPS sucks.
AmazonHelp: @416671 Oh no! Are you only seeing this trend with USPS? We'd like to help! ^ZW","Product condition, item accuracy, and seller issues","Returns, refunds, and charges",
human-train-0024,330933,330933,"https://t.co/nnyOBaYuDr

Here is yet another fake seller on @115850 . This menace is on flipkart too. Buyers beware","CUSTOMER: https://t.co/nnyOBaYuDr  Here is yet another fake seller on @115850 . This menace is on flipkart too. Buyers beware
AmazonHelp: @194789 Sorry you're upset with this seller. Could you let us know the reason? ^HA","Product condition, item accuracy, and seller issues",Account access and security,
human-train-0025,659405,659405,"hey @117634, why do you CONSTANTLY fail to notice there is something wrong with the phone model called @7689 Liquid Z360s? it KEEPS crashing right after i open it. i tried to report it at your site 4 times already and it's been one month. 😠","CUSTOMER: hey @117634, why do you CONSTANTLY fail to notice there is something wrong with the phone model called @7689 Liquid Z360s? it KEEPS crashing right after i open it. i tried to report it at your site 4 times already and it's been one month. 😠
AmazonHelp: @277015 Hello, sorry for that, Have you placed the order on Amazon.fr?
CUSTOMER: @AmazonHelp .....  *facepalm*  it's not the phone itself, it's YOUR app @117634 which it have problem because it's not working on that model.... https://t.co/LUaMpYPhbP
AmazonHelp: @277015 Ah okey ! Our customer service will help you on the following link :  https://t.co/1thqWtqfOc
CUSTOMER: @AmazonHelp that will not change at all since i already did this 4 time... and right now it's closed
AmazonHelp: @277015 Please contact them by email : https://t.co/9tY4PIoHCc ^YL
CUSTOMER: @AmazonHelp ok i will try this time... but seriously, i'm getting tired of that same problem... but i will try","Product condition, item accuracy, and seller issues","Returns, refunds, and charges",
human-train-0026,665163,665163,@AmazonHelp I ordered a set of 6 frames and one came broken. Can I just send back one or do I need to send back all 6?,"CUSTOMER: @AmazonHelp I ordered a set of 6 frames and one came broken. Can I just send back one or do I need to send back all 6?
AmazonHelp: @278529 Oh no! I'm sorry about this! Who was the seller, Amazon or third-party? If unsure, check here: https://t.co/Y5jpI9gRhE ^FR
CUSTOMER: @AmazonHelp It lists as Fulfilled by Amazon though?
AmazonHelp: @278529 We can help with that! Since we fulfilled it, you may explore return options here: https://t.co/6GPEbWBJnV ^JE
CUSTOMER: @AmazonHelp but is there a way to return just the broken one? go figure it was the sixth one I pulled out after the other five already got hung
AmazonHelp: @278529 If part of a set, the full set would need to be returned. We can see what options are available: https://t.co/WA3MsZccSC ^MB
CUSTOMER: @AmazonHelp ughhhhh you’re killing me, now I have to take everything off the walls &amp; dig out the original packaging 🙃 but thanks for the help
CUSTOMER: @AmazonHelp Looks like it was third party","Product condition, item accuracy, and seller issues","Digital products, devices, and apps",
human-train-0027,1548240,1548240,"Hi @115850, I got this product damaged and open, so went to return it but it isn't eligible for return. Can you help? https://t.co/WixxKWep9l","CUSTOMER: Hi @115850, I got this product damaged and open, so went to return it but it isn't eligible for return. Can you help? https://t.co/WixxKWep9l
AmazonHelp: @147145 Sorry that you have received damaged product. Please report this to our support team here  https://t.co/vlvfJr4nN9. ^AR","Product condition, item accuracy, and seller issues",Prime membership and benefits,
human-train-0028,16117,16117,@115850 No speedy respnse frm the seller side..I asked 2 return my money but they are not ready 2 clr my issue i need my query to b solved,"CUSTOMER: @115850 No speedy respnse frm the seller side..I asked 2 return my money but they are not ready 2 clr my issue i need my query to b solved
AmazonHelp: @119535 time frame has passed and you haven't received any update or if you aren't satisfied with seller's reply then you may file 2/n ^SH
CUSTOMER: @AmazonHelp Ur customer care didnt provide me a correct answer
AmazonHelp: @119535 I'm sorry about the experience. Kindly share your details here: https://t.co/beaaDm0muc and we'll check. ^GK
AmazonHelp: @119535 the A-z guarantee claim. You can know more about A-z guarantee claim here: https://t.co/cly38I8avX 3/3 ^SH
AmazonHelp: @119535 Sorry to know the seller hasn't responded to your query. Generally, the seller's respond with in 2 business days if this 1/n ^SH","Product condition, item accuracy, and seller issues","Product condition, item accuracy, and seller issues",
human-train-0029,2294180,2294180,Someone decided to steal my debit card info and open a $107 amazon prime account 🙃,"CUSTOMER: Someone decided to steal my debit card info and open a $107 amazon prime account 🙃
AmazonHelp: @666191 Oh no! Have you had a chance to speak w/ us about this? If not, please phone us here: https://t.co/hApLpMlfHN ^LB
CUSTOMER: @AmazonHelp Yes! Getting a full refund, thanks!
AmazonHelp: @666191 That's great! Thanks for letting us know! Please reach out if you need any additional help 😁 ^KJ","Product condition, item accuracy, and seller issues","Pricing, offers, and product availability",
human-train-0030,2401805,2401805,just used #amazonprimenow for the 1st time! #amazon is KILLING THE GAME! #mynewfavoritething https://t.co/gYjjwKul9e,"CUSTOMER: just used #amazonprimenow for the 1st time! #amazon is KILLING THE GAME! #mynewfavoritething https://t.co/gYjjwKul9e
AmazonHelp: @691019 Glad to hear you're enjoying our service! Let us know if we can ever be of assistance for anything! 😁 📦 ^KN","Product condition, item accuracy, and seller issues","Product condition, item accuracy, and seller issues",
human-train-0031,2414446,2414446,Hi @115821  I’m moving to Ireland from the USA and I want to bring my Alexa.... is there a way I can change my plug to a European outlet or.... not really? Thanks! I love Alexa!,"CUSTOMER: Hi @115821  I’m moving to Ireland from the USA and I want to bring my Alexa.... is there a way I can change my plug to a European outlet or.... not really? Thanks! I love Alexa!
AmazonHelp: @675721 Great question! We want you to be able to enjoy your Alexa anywhere you go. You do have an option to purchase an adapter. I was able to find one that I think will work for you here: https://t.co/iIi65sC5by. Hope this helps! ^AL","Digital products, devices, and apps",Other/Unclear/non-substantive,
human-train-0032,2498494,2498494,@AmazonHelp my Alexa isn't responding to the command. I even pressed the botton and nothing happens,"CUSTOMER: @AmazonHelp my Alexa isn't responding to the command. I even pressed the botton and nothing happens
AmazonHelp: @712914 Oh no! Which type of Alexa device is it? Have you already tried restarting this device? ^BE
CUSTOMER: @AmazonHelp I called and she had me restart it. It's working again
AmazonHelp: @712914 I'm so glad we were able to help!! Thanks for letting us know. ^DG","Digital products, devices, and apps","Product condition, item accuracy, and seller issues",
human-train-0033,2901059,2901059,So I’m trying to watch Vaxxed on Amazon video and it doesn’t let me at all why u do this? @116618 u let me play rudolf all damn morning,"CUSTOMER: So I’m trying to watch Vaxxed on Amazon video and it doesn’t let me at all why u do this? @116618 u let me play rudolf all damn morning
AmazonHelp: @605959 Oh no! I'm sorry to hear that, Julie. We certainly want you to be able to watch your shows! Are you getting an error message when you try to watch it? ^VF","Digital products, devices, and apps","Product condition, item accuracy, and seller issues",
human-train-0034,710006,710006,@116935 Is there a way to disable Alexa &amp; go back to searching music by hand? I'm sure she's great but I didnt ask for this.,"CUSTOMER: @116935 Is there a way to disable Alexa &amp; go back to searching music by hand? I'm sure she's great but I didnt ask for this.
AmazonHelp: @289774 Would you mind telling us more about what's going on? Are you referring to the search feature in our Music app? ^FR
CUSTOMER: @AmazonHelp Yes I am. Within the last month it changed from a regular search button to Alexa which comes with a terms agreement before you start using
AmazonHelp: @289774 Thank you for the information! Have you tried uninstalling and re-installing the app? ^AL
CUSTOMER: @AmazonHelp I'll try that thank You!","Digital products, devices, and apps","Digital products, devices, and apps",
human-train-0035,2102470,2102470,Dear @115821 I thought video rental was for 30 days?! I got a half of a watch on my last rental...,"CUSTOMER: Dear @115821 I thought video rental was for 30 days?! I got a half of a watch on my last rental...
AmazonHelp: @271957 For rental videos, you'll typically have a 48 hours viewing period to finish watching once you've started streaming. ^CL
CUSTOMER: @AmazonHelp Well shucks! I swore it 30 days! I guess that's on me ¯\_(ツ)_/¯","Digital products, devices, and apps","Product condition, item accuracy, and seller issues",
human-train-0036,2408770,2408770,@115850 @AmazonHelp when will you Launch prime music in india... It's becoming hard to find my fav music on my echo dot through voice or in alexa app😒😒🤦🤦,"CUSTOMER: @115850 @AmazonHelp when will you Launch prime music in india... It's becoming hard to find my fav music on my echo dot through voice or in alexa app😒😒🤦🤦
AmazonHelp: @119699 Prime music is now available for the customers holding an active prime membership with an echo device. As you already own an echo device, could you please confirm from when did you purchase the device and when it is delivered to you? ^SU
CUSTOMER: @AmazonHelp Ordered on 7-oct and received in 3-Nov
AmazonHelp: @119699 Kindly reach out to our team here: https://t.co/vlvfJr4nN9 and we'll check. ^GK","Digital products, devices, and apps","Returns, refunds, and charges",
human-train-0037,2693918,2693918,@128308 Any ETA when Alexa coming to firestick so that echo and firestick can work together. Thanks,"CUSTOMER: @128308 Any ETA when Alexa coming to firestick so that echo and firestick can work together. Thanks
AmazonHelp: @757147 Thanks for reaching out to us today. We haven't made any announcement. Please stay tuned for any further update on this. ^SG","Digital products, devices, and apps",Account access and security,
human-train-0038,1072536,1072536,@AmazonHelp Hey guys.. Cloud Sync never finishes syncing. Issue has persisted for months on and off. Desktop app needs an upgrade. https://t.co/leiUfFz5TW,"CUSTOMER: @AmazonHelp Hey guys.. Cloud Sync never finishes syncing. Issue has persisted for months on and off. Desktop app needs an upgrade. https://t.co/leiUfFz5TW
AmazonHelp: @367874 Oh no! I'm sorry for the troubles. Let's look into some live troubleshooting here: https://t.co/hApLpMlfHN ^TG
CUSTOMER: @AmazonHelp Not the help that's needed. If I have to do this every time I get stuck files— there's a problem with your software.
CUSTOMER: @AmazonHelp It's near impossible to get through to a technically-minded person on the Cloud Drive team. Live support gives me 'log out and in'.
CUSTOMER: @AmazonHelp With all respect, guys. I've done this with you a few times. I get directed to call, then get the same steps each time. It doesn't work.
AmazonHelp: @367874 That isn't expected! Please, do provide us details so a member of my team may investigate this: https://t.co/C5w4LnVpI0 ^JE","Digital products, devices, and apps",Prime membership and benefits,
human-train-0039,1723355,1723355,@AmazonHelp thanks for the warning that my kindle unlimited cheap trial was due to expire👍just been charged £7.99 for something I don’t want,"CUSTOMER: @AmazonHelp thanks for the warning that my kindle unlimited cheap trial was due to expire👍just been charged £7.99 for something I don’t want
AmazonHelp: @124106 Hey Natalie Sorry to hear you no longer wish to avail of Kindle unlimited. You can cancel here - https://t.co/5Ysnae2pVx ^TP
CUSTOMER: @AmazonHelp You’s really need to send people reminders for stuff like that 😒
AmazonHelp: @124106 Thanks for the feedback Natalie. Have you cancelled your subscription? Did you receive an email confirming so? ^TP
CUSTOMER: @AmazonHelp I’ve cancelled it now, but I haven’t had an email yet 😒 guess I’ll be doing a loooot of reading in the next month
AmazonHelp: @124106 Hi, please check your spam or junk folders for the cancellation email, we want to be sure this is resolved for you. ^TS
CUSTOMER: @AmazonHelp Nope no emails
AmazonHelp: @124106 Please contact us here: https://t.co/JzP7hlA23B so an agent can look into this for you. ^JJ","Digital products, devices, and apps","Pricing, offers, and product availability",
human-train-0040,256647,256647,My Netflix app on my amazon fire stick keeps closing unexpectedly.  It's driving me insane!! 💀,"CUSTOMER: My Netflix app on my amazon fire stick keeps closing unexpectedly.  It's driving me insane!! 💀
AmazonHelp: @177033 So for the frustrations w/ the app! Have you tried to uninstall/re-install it? Also, that its fully up to date? ^JZ
CUSTOMER: @AmazonHelp I'll give that a try, thank you!","Digital products, devices, and apps",Customer service escalation and feedback,
human-train-0041,2966415,2966415,@115821 all my #prime #packages are arriving after the guaranteed 2 days. #wtf ?? #ishouldcancel #brokenpromises,"CUSTOMER: @115821 all my #prime #packages are arriving after the guaranteed 2 days. #wtf ?? #ishouldcancel #brokenpromises
AmazonHelp: @818382 I'm sorry to hear your items aren't arriving as expected. Have we missed the delivery date given in your confirmation e-mail here: https://t.co/q0dpvb2v9x? ^KP",Prime membership and benefits,"Digital products, devices, and apps",
human-train-0042,285106,285106,.@115821 #Prime has been missing that 2-Day “Guarantee” more and more. Second time for me in my last four orders.,"CUSTOMER: .@115821 #Prime has been missing that 2-Day “Guarantee” more and more. Second time for me in my last four orders.
AmazonHelp: @183922 I'm sorry for any trouble, Tim. Have we been missing the estimated delivery dates given at checkout and in your e-mail? ^FD
CUSTOMER: @AmazonHelp yes. https://t.co/yk4l77ZrXz
AmazonHelp: @183922 It's never our intention for this to happen but the new dates may be the earliest it can arrive. ^KP",Prime membership and benefits,Delivery and order fulfillment,
human-train-0043,1881148,1881148,"I buy something on amazon prime every other day, I need help.","CUSTOMER: I buy something on amazon prime every other day, I need help.
AmazonHelp: @561410 Thank you for using Amazon Prime!. Please tell us what kind of help do you need? ^CC
CUSTOMER: @AmazonHelp How do i stop purchasing so many things on your website?
CUSTOMER: @AmazonHelp @561410 I have been cheated by your company  &amp; I want fair justice as I haven’t been provided the order as promised by Amazon.",Prime membership and benefits,Account access and security,
human-train-0044,1357698,1357698,@AmazonHelp starting to doubt prime is worth it. The eta of my orders lately all went later then told while ordering,"CUSTOMER: @AmazonHelp starting to doubt prime is worth it. The eta of my orders lately all went later then told while ordering
AmazonHelp: @436539 I'm sorry for the delay! Is there a current delivery date that we have missed? We'd like to help if we can. ^JF
CUSTOMER: @AmazonHelp Yeah there is one that was told to arrive Saturday and one today. I doubt today will make it. Both via Hermes in Germany
AmazonHelp: @436539 Please contact our customer support: https://t.co/IloNPDoh96 Our colleagues will have a look into this. ^SK",Prime membership and benefits,"Product condition, item accuracy, and seller issues",
human-train-0045,2900991,2900991,"@AmazonHelp Is the HDFC INSTANT DISCOUNT OF ₹1500 offered on purchase of One Plus 5T mobile valid for all the customers holding HDFC CARDS or only Amazon Prime customers holding the HDFC Cards.

Pls revert ASAP.","CUSTOMER: @AmazonHelp Is the HDFC INSTANT DISCOUNT OF ₹1500 offered on purchase of One Plus 5T mobile valid for all the customers holding HDFC CARDS or only Amazon Prime customers holding the HDFC Cards.  Pls revert ASAP.
AmazonHelp: @774344 The offer is applicable to all the customers who purchase One Plus 5T with HDFC Bank Debit &amp; Credit Cards between November 28 to December 2 2017. Please refer it here: https://t.co/e80meUAKUu and get back to us If you still have any further queries. ^NK
CUSTOMER: @AmazonHelp Thank You so much. One more thing, is it an Instant Discount i.e. Customer needs to pay net amount after deduction of 1500 Or the CASHBACK will be credited to Amazon pay balance or refunded in bank account in later part of the year or so?
AmazonHelp: @774344 This promotion is a instant discount. Please refer to the T&amp;C here: https://t.co/xebJ0HEBs1 for more info about this offer. ^SV",Prime membership and benefits,"Pricing, offers, and product availability",
