conversation_root_id,split,retrieval_exclusion,reason
1752472,evaluation,1752472,Golden conversations are excluded from retrieval evidence
1673720,evaluation,1673720,Golden conversations are excluded from retrieval evidence
939414,evaluation,939414,Golden conversations are excluded from retrieval evidence
1240430,evaluation,1240430,Golden conversations are excluded from retrieval evidence
321987,evaluation,321987,Golden conversations are excluded from retrieval evidence
741521,evaluation,741521,Golden conversations are excluded from retrieval evidence
2795288,evaluation,2795288,Golden conversations are excluded from retrieval evidence
1124098,evaluation,1124098,Golden conversations are excluded from retrieval evidence
703825,evaluation,703825,Golden conversations are excluded from retrieval evidence
2437286,evaluation,2437286,Golden conversations are excluded from retrieval evidence
1842147,evaluation,1842147,Golden conversations are excluded from retrieval evidence
1252990,evaluation,1252990,Golden conversations are excluded from retrieval evidence
2881282,evaluation,2881282,Golden conversations are excluded from retrieval evidence
987817,evaluation,987817,Golden conversations are excluded from retrieval evidence
1507286,evaluation,1507286,Golden conversations are excluded from retrieval evidence
274053,evaluation,274053,Golden conversations are excluded from retrieval evidence
1042320,evaluation,1042320,Golden conversations are excluded from retrieval evidence
168024,evaluation,168024,Golden conversations are excluded from retrieval evidence
1470773,evaluation,1470773,Golden conversations are excluded from retrieval evidence
2131825,evaluation,2131825,Golden conversations are excluded from retrieval evidence
1244684,evaluation,1244684,Golden conversations are excluded from retrieval evidence
308911,evaluation,308911,Golden conversations are excluded from retrieval evidence
947689,evaluation,947689,Golden conversations are excluded from retrieval evidence
2917221,evaluation,2917221,Golden conversations are excluded from retrieval evidence
1466829,evaluation,1466829,Golden conversations are excluded from retrieval evidence
960158,evaluation,960158,Golden conversations are excluded from retrieval evidence
2616337,evaluation,2616337,Golden conversations are excluded from retrieval evidence
2094064,evaluation,2094064,Golden conversations are excluded from retrieval evidence
2419458,evaluation,2419458,Golden conversations are excluded from retrieval evidence
592027,evaluation,592027,Golden conversations are excluded from retrieval evidence
1227284,evaluation,1227284,Golden conversations are excluded from retrieval evidence
576526,evaluation,576526,Golden conversations are excluded from retrieval evidence
1131347,evaluation,1131347,Golden conversations are excluded from retrieval evidence
2893225,evaluation,2893225,Golden conversations are excluded from retrieval evidence
2814527,evaluation,2814527,Golden conversations are excluded from retrieval evidence
1217534,evaluation,1217534,Golden conversations are excluded from retrieval evidence
2979655,evaluation,2979655,Golden conversations are excluded from retrieval evidence
2291062,evaluation,2291062,Golden conversations are excluded from retrieval evidence
2975728,evaluation,2975728,Golden conversations are excluded from retrieval evidence
2122323,evaluation,2122323,Golden conversations are excluded from retrieval evidence
1716724,evaluation,1716724,Golden conversations are excluded from retrieval evidence
987082,evaluation,987082,Golden conversations are excluded from retrieval evidence
573486,evaluation,573486,Golden conversations are excluded from retrieval evidence
2675996,evaluation,2675996,Golden conversations are excluded from retrieval evidence
2597088,evaluation,2597088,Golden conversations are excluded from retrieval evidence
391582,evaluation,391582,Golden conversations are excluded from retrieval evidence
234239,evaluation,234239,Golden conversations are excluded from retrieval evidence
461360,evaluation,461360,Golden conversations are excluded from retrieval evidence
649638,evaluation,649638,Golden conversations are excluded from retrieval evidence
683788,evaluation,683788,Golden conversations are excluded from retrieval evidence
2276818,evaluation,2276818,Golden conversations are excluded from retrieval evidence
294863,evaluation,294863,Golden conversations are excluded from retrieval evidence
1905531,evaluation,1905531,Golden conversations are excluded from retrieval evidence
1871748,evaluation,1871748,Golden conversations are excluded from retrieval evidence
2465668,evaluation,2465668,Golden conversations are excluded from retrieval evidence
2771681,evaluation,2771681,Golden conversations are excluded from retrieval evidence
1156747,evaluation,1156747,Golden conversations are excluded from retrieval evidence
2868423,evaluation,2868423,Golden conversations are excluded from retrieval evidence
74774,evaluation,74774,Golden conversations are excluded from retrieval evidence
477846,evaluation,477846,Golden conversations are excluded from retrieval evidence
2807512,evaluation,2807512,Golden conversations are excluded from retrieval evidence
1239733,evaluation,1239733,Golden conversations are excluded from retrieval evidence
1594680,evaluation,1594680,Golden conversations are excluded from retrieval evidence
468192,evaluation,468192,Golden conversations are excluded from retrieval evidence
1366980,evaluation,1366980,Golden conversations are excluded from retrieval evidence
2308644,evaluation,2308644,Golden conversations are excluded from retrieval evidence
676124,evaluation,676124,Golden conversations are excluded from retrieval evidence
2394479,evaluation,2394479,Golden conversations are excluded from retrieval evidence
22476,evaluation,22476,Golden conversations are excluded from retrieval evidence
1220955,evaluation,1220955,Golden conversations are excluded from retrieval evidence
2622525,evaluation,2622525,Golden conversations are excluded from retrieval evidence
782322,evaluation,782322,Golden conversations are excluded from retrieval evidence
2668749,evaluation,2668749,Golden conversations are excluded from retrieval evidence
448702,evaluation,448702,Golden conversations are excluded from retrieval evidence
1386442,evaluation,1386442,Golden conversations are excluded from retrieval evidence
2668740,evaluation,2668740,Golden conversations are excluded from retrieval evidence
882990,evaluation,882990,Golden conversations are excluded from retrieval evidence
649634,evaluation,649634,Golden conversations are excluded from retrieval evidence
1772985,evaluation,1772985,Golden conversations are excluded from retrieval evidence
691142,evaluation,691142,Golden conversations are excluded from retrieval evidence
2816374,evaluation,2816374,Golden conversations are excluded from retrieval evidence
2777373,evaluation,2777373,Golden conversations are excluded from retrieval evidence
5298,evaluation,5298,Golden conversations are excluded from retrieval evidence
1506901,evaluation,1506901,Golden conversations are excluded from retrieval evidence
2567010,evaluation,2567010,Golden conversations are excluded from retrieval evidence
117915,evaluation,117915,Golden conversations are excluded from retrieval evidence
468858,evaluation,468858,Golden conversations are excluded from retrieval evidence
1721610,evaluation,1721610,Golden conversations are excluded from retrieval evidence
1429449,evaluation,1429449,Golden conversations are excluded from retrieval evidence
1100964,evaluation,1100964,Golden conversations are excluded from retrieval evidence
279516,evaluation,279516,Golden conversations are excluded from retrieval evidence
1107316,evaluation,1107316,Golden conversations are excluded from retrieval evidence
2918625,evaluation,2918625,Golden conversations are excluded from retrieval evidence
349906,evaluation,349906,Golden conversations are excluded from retrieval evidence
378966,evaluation,378966,Golden conversations are excluded from retrieval evidence
2551374,evaluation,2551374,Golden conversations are excluded from retrieval evidence
318094,evaluation,318094,Golden conversations are excluded from retrieval evidence
2789121,evaluation,2789121,Golden conversations are excluded from retrieval evidence
523444,evaluation,523444,Golden conversations are excluded from retrieval evidence
530783,evaluation,530783,Golden conversations are excluded from retrieval evidence
2503613,evaluation,2503613,Golden conversations are excluded from retrieval evidence
2855125,evaluation,2855125,Golden conversations are excluded from retrieval evidence
712475,evaluation,712475,Golden conversations are excluded from retrieval evidence
1228695,evaluation,1228695,Golden conversations are excluded from retrieval evidence
2766402,evaluation,2766402,Golden conversations are excluded from retrieval evidence
2279429,evaluation,2279429,Golden conversations are excluded from retrieval evidence
954299,evaluation,954299,Golden conversations are excluded from retrieval evidence
2816337,evaluation,2816337,Golden conversations are excluded from retrieval evidence
897664,evaluation,897664,Golden conversations are excluded from retrieval evidence
1449117,evaluation,1449117,Golden conversations are excluded from retrieval evidence
2118893,evaluation,2118893,Golden conversations are excluded from retrieval evidence
1771751,evaluation,1771751,Golden conversations are excluded from retrieval evidence
2318282,evaluation,2318282,Golden conversations are excluded from retrieval evidence
2719989,evaluation,2719989,Golden conversations are excluded from retrieval evidence
2386097,evaluation,2386097,Golden conversations are excluded from retrieval evidence
503537,evaluation,503537,Golden conversations are excluded from retrieval evidence
1137370,evaluation,1137370,Golden conversations are excluded from retrieval evidence
1015567,evaluation,1015567,Golden conversations are excluded from retrieval evidence
296775,evaluation,296775,Golden conversations are excluded from retrieval evidence
1581309,evaluation,1581309,Golden conversations are excluded from retrieval evidence
124790,evaluation,124790,Golden conversations are excluded from retrieval evidence
2871546,evaluation,2871546,Golden conversations are excluded from retrieval evidence
1047185,evaluation,1047185,Golden conversations are excluded from retrieval evidence
989770,evaluation,989770,Golden conversations are excluded from retrieval evidence
47871,evaluation,47871,Golden conversations are excluded from retrieval evidence
321134,evaluation,321134,Golden conversations are excluded from retrieval evidence
280979,evaluation,280979,Golden conversations are excluded from retrieval evidence
1041828,evaluation,1041828,Golden conversations are excluded from retrieval evidence
313678,evaluation,313678,Golden conversations are excluded from retrieval evidence
164942,evaluation,164942,Golden conversations are excluded from retrieval evidence
1546352,evaluation,1546352,Golden conversations are excluded from retrieval evidence
320829,evaluation,320829,Golden conversations are excluded from retrieval evidence
2698961,evaluation,2698961,Golden conversations are excluded from retrieval evidence
1095906,evaluation,1095906,Golden conversations are excluded from retrieval evidence
1290423,evaluation,1290423,Golden conversations are excluded from retrieval evidence
2549009,evaluation,2549009,Golden conversations are excluded from retrieval evidence
969322,evaluation,969322,Golden conversations are excluded from retrieval evidence
2816303,evaluation,2816303,Golden conversations are excluded from retrieval evidence
