conversation_root_id,customer_message,amazonhelp_response
1257486,@115821 promotion code doesn’t work,"@414670 Sorry to hear that, can you tell us a bit more about the promotion you're referring to without sharing any sensitive info? ^JJ"
1476404,"A @117086 é incrivel, que atendimento incrivel só amor s2s2s2s2",@462770 Olá Duda! Ficamos felizes ao saber que você gostou do nosso atendimento. 😁 Tudo foi resolvido? ^HC
455485,@115821 you are the worst. You must train your CS reps to lie and blow off rather than help. No help. Can’t deliver on promises. You are lucky your big enough to treat your customers like crap.,"@223121 I'm very sorry to hear about the poor experience you've had, Konrad! We'd like to help you here the best we can. Without giving any personal account information, will you tell us more about what happened? ^HC"
1351693,"@117795 so disappointed..! 
Upon opening delivery...Fungus on tomatoes I ordered 
Bananas over-ripe 
Oranges rotten :( https://t.co/tfu4R07tAQ",@435211 I'm sorry you received it in this condition! Please reach out for available options: https://t.co/bTw3iWocyJ Keep us posted! ^JP
180116,@115850  I ordered motoG5S plus frm Amazon by credit card.But they giving me refund. I paid interest of credit card for nothing.,@158388 Apologies for the unpleasant experience. I'll be sure o forward your comments as a feedback internally. ^AG
1616264,@115821 I recently ordered the Interstellar on Blu ray 4k that you advertised on special offer. And you have changed the order to just the normal blur-ray?,"@495662 Hm.. That's strange! Could you send us a link to the item that you had ordered, so we can look into this for you? We'd like to help! ^ZW"
1937609,"おはよう人類。 
ところでAmazonprime会員になったつもりはないのにみれるのはなぜだい？
 #アマゾン プライム
#Amazonprime https://t.co/lqMyAN7Lik","@576400 Amazonプライムのキャンセル手続きについて詳しくはこちらをご確認ください。
 https://t.co/JrKFIybs6n　MH @576400 プライム・ビデオを視聴いただける場合は、意図せずプライム会員に登録されている可能性がございます。プライムのご登録状況はこちらのページでご確認いただけます。https://t.co/V5vbMHFVaS MH"
419059,"Why do I pay for @115821 Prime when nothing gets delivered in 2 days anymore...even when it says ""guaranteed"" ... #InternetWalmart",@214950 I'm sorry for any inconvenience! We'd like to help if we can. Is this in regard to a current order: https://t.co/3kQwjObgTc? ^GM
2520588,@7108  Ironically the Amazon app on my kindle fire keeps freezing,@717943 Thanks for reaching out to us today. Have you tried restarting your Kindle device? Restarting your Kindle can often remedy those types of issues. You can find more information here: https://t.co/jtR0vbbtcT  ^FJ
2514220,Hey @115821 @AmazonHelp have you got any delivery services to NewZealand .......?,"@438790 Hi, we can deliver eligible items to New Zealand. You can find more information here: https://t.co/Dv23ef0vXk. ^JJ"
837855,"@AmazonHelp hi there, I have a parcel due for delivery today but it still isn't out for delivery. Is this normal?",@319384 We'd still aim to deliver it today. We deliver until 2100. ^BM
832089,"@115821 they already treat our packages like footballs, you really don’t have to make your packages look like one.... https://t.co/YpVDfZeTJh",@318176 Did the contents arrive damaged? ^RR
536606,Amazon Echo Dot が届いたんだけど、意外にも奥さんや息子に結構好評だった,@244338 ご家族の方に気に入っていただけたご様子、大変嬉しいことでございます！末永くかわいがっていただけますように… RI
1203382,"@115821 @AmazonHelp thanks to ur driver 2day my bf n I lost out on our #snes bc they didn't use the locker but ""delivered"" them somewhere",@402702 I'm sorry for the delivery issue! Just to confirm; who's the carrier under tracking info: https://t.co/Y5jpI9gRhE? ^WT
1142012,"Seems @115821 @AmazonHelp are up to their old tricks - this time buy through their global store and you have no rights,they say.",@182232 We'd like to help! Without adding personal/account information can you tell us more about what happened? ^ME
245309,"@AmazonHelp 
Also I have raised a refund request for my order with id    171-6797570-3772355.And plz take strict action against seller.
2/2","@174243 provide your order details as we consider them to be personal information. Our page is visible to public. ^PB (2/2) @174243 Thank you for letting us know about the same. Please be assured we'll sort this out for you. Also, please don't..^PB (1/2)"
226396,"@115850 @AmazonHelp
odr# 408-4662003-7122753 to b delivrd on 29Sep.
Still waiting delivery. Disgusting service.
Make it fast.","@170044 Please don't provide your order details, as we consider it to be personal information. Our Twitter page is public.​ ^MM @170044 Sorry about the delay. Kindly fill in your details here: https://t.co/GIJyeYqKE0 and I'll help you with it. ^MM"
2317583,"@120533 Bonjour, j’ai un soucis avec un de mes avantages Amazon prime (TwitchPrime) est ce que vous pouvez m’aider?","@671920 Bonjour, En quoi puis je vous aider ?
^YL"
193044,"@115850 - I need to reset my password and email for my a/c. I lost my email id as my email subscription with MSP discontinued, Help Me!!","@161371 Please call us here: https://t.co/TK4yevTaND, our support team will assist you regarding this. ^NR"
1543614,What is this @115821? And why do I hear nothing?,"@478180 I'm sorry, Roxanne, would you mind elaborating? Is there something we may assist with? Please let us know. ^KL"
1755074,"娘っちやっとバンボデビュー💕
Amazonで頼んだから足入るか心配だったけど大丈夫そう🙆よかった〜 https://t.co/qH3mdA1TNO","@528564 なんとまぁ、かわいいことかわいいこと…😍✨ すっぽりおさまってよかったです～🎵
Amazonをご利用いただき、ありがとうございます‼️ RI"
2485598,@AmazonHelp I have the accounts. One prime and one non prime. There must be a way to move the books on the non prime account. So I can close the non prime account. Help?,@365392 I'm sorry for the inconvenience this has caused you. Please contact us here: https://t.co/hApLpMlfHN so we can look into this further. ^CO
2398916,"@AmazonHelp Hi guys, I bought tickets for Gary Barlow at the Palladium for a friend but the tickets are on my name and her address","@690336 Hey Marjolein, get in touch here: https://t.co/pRkC77MXDI and we'll check that for you. ^RS"
2825678,"@AmazonHelp Hi, I’ve received this email today, it doesn’t look quite right. Is it actually from you? https://t.co/mpUsssSgB8",@787154 Hey Caroline! Here is a handy link which will guide you on identifying if the email was sent from us or not: https://t.co/TERlYcC6rp. Hope this helps! ^JC.
637318,"@AmazonHelp I know it's the holidays, but this just arrived packed as pictured, with the box beat up as well. If I open the tablet can I still return it if it was damaged by the lackluster packing? I got the same size box full of airbags when I bought a single SD card, so... 🤔 https://t.co/wwZkdYvLPN","@271114 Oh my! I'm sorry for the poor packaging. If any of the items are damaged, you can see what options we have available here: https://t.co/HHuL8UxFYX. ^AL."
1071123,My Amazon Firestick won't load the home screen and I have tried everything. Love my life. 🙃🙃🙃,"@358424 We'd like to help, if we may! Have you tried all of these steps: https://t.co/FNNUxQO9cm to fix it? Let us know! ^JE"
2544929,I am only an @115830 prime customer for the delivery. One day delivery - Wednesday?! How is that one day?! Nightmare!,@723381 I'm sorry for the disappointment. More information on delivery times this week can be found here: https://t.co/2KyMo52Tbx ^MG
2408657,what is the core purpose of @115821 ?,@200428 I'm sorry I was unable to comprehend your concern. Could you please elaborate? ^KH
1623899,@AmazonHelp @115821 is quite helpful! (Not),@497406 I'm sorry to hear you're having a poor experience. Without giving account or order details can you tell us what happened? ^AN
226714,Amazonのプライムリーディング。プライム会員に早速なってみました！,"@170120 Amazonプライムのご登録ありがとうございます(＾◇＾)
Amazonプライムの特典は様々ございますので、ぜひご活用くださいませ~♪ https://t.co/JVlaJGORZx TY"
1292089,@AmazonHelp please help I ordered a hat for a Halloween costume on Tuesday which said would be here today but still waiting on a carrier!,"@422160 I'm sorry it hasn't arrived yet! To confirm, is there no carrier shown under tracking details: https://t.co/KOIimRfgLD? ^MB"
674239,@120474 why have tickets for The Killers next Tuesday 28th at the O2 still not been dispatched? your conditions of sale stated they would be sent out at least 7 days prior to the event.,"@280804 Hey Karen, sorry to hear that. We don't have access to your account over Twitter, if you reach out to our Tickets team here: https://t.co/3RPwTT8eri? we can look in to this for you.^TI"
63906,Why is @116618 showing AV_MOBILE_IOS_DETAILS_AIRDATE_WITH_COLON everywhere? Did you guys get hacked? @115850 @115851 https://t.co/Tw9THtkiTP,@130679 I'm sorry for that error. Our application is safe. Please try reinstalling it. ^RW
1008937,"@115821 you are punishing me, ‘cause of something that you did. It’s your business this late package, and I’m not supposed to suffer w/ it.","@358745 Hi, Klara. I'm sorry your parcel has been delayed. What information has been provided regarding the delay? ^LB"
93497,Hey @115830 free 1 day delivery with a delivery date in 3 days? Why am I paying for prime? https://t.co/tBQ6DjndfA,"@136262 Hey, Simon! The free 1-day delivery actually refers to after the item ships. You can find more information on how delivery dates are calculated here: https://t.co/ZZcrpqYDjM. ^DY"
2968406,#amzl_us Thanks for losing our Christmas gifts.... @AmazonHelp,"@818845 I'm sorry your packages were lost. Have you reached out to us via phone, chat or email so we could help get this matter resolved?  If not you can do so here: https://t.co/hApLpMlfHN 
 We are happy to help! ^BT"
2882528,@AmazonHelp Bonjour j'ai déjà reçu des colis abîmé mais lors ce matin chapeau colis carrément ouvert dans ma boite aux lettre sans l'article dedans que faire ? https://t.co/CNaRnbtvyM,"@799747 Bonjour, je suis sincèrement désolé pour cela. L'avez-vous signalé à notre SAV ? ^ARC"
2834142,"bjr @amazonhelp @120533 petit colis (tenant pourtant das la boite aux lettres)n soit-disant livré à un voisin (?) aujourd’hui, vérification faite, le voisin n’a JAMAIS signé de bon de réception. Pouvez-vous me dire où est ma commande? merci d'avance","@788957 Bonjour, vraiment désolé pour cela. Merci de nous joindre via https://t.co/hgIrz98cdI afin d'effectuer les vérifications nécessaires concernant cette livraison. ^KD"
1310934,@115821 How do I cancel accidental music orders?,"@188688 Hello! To clarify, is this a digital music order or a Music Unlimited subscription cancellation? ^RM"
1689520,"Hi @AmazonHelp I’ve had 3 payments come out of my bank account to you but placed only one order, can you look into please","@512971 Sorry for those charges, Amber! Let's take a look in real time w/ you here: https://t.co/JzP7hlA23B ^JZ"
2907745,"Neue Funktion? Amazon akzeptiert jetzt iDEAL!

@111541 @AmazonHelp @219464 @63924 @805122 https://t.co/fdYXpvHlz7",@805121 Ja! Du findest alle Informationen hier: https://t.co/IX36dVLy4J Liebe Grüße ^TA
887889,@116875 hola! Tengo una duda de un cargo que hicieron a mi cuenta . ¿A dónde me puedo comunicar?,"@151596 Hola Isabel, ¿cuál es el valor y la descripción del cargo que recibiste? ^LG"
2154294,@115821 requested same day delivery and didn’t even get my package https://t.co/J2qvcoFyNZ,@632936 We appreciate you contacting us on Twitter. What does the most recent tracking info state here: https://t.co/q4LAMZ3tbE? ^GG
468856,"@AmazonHelp Had a kindle, the display stopped working (cracked). Went to a helper and he told me I had to buy another one, which is what I've done now. Pathetic customer care",@226633 I'm sorry for the trouble! When was the Kindle purchased? ^MO
1716701,@129773 @AmazonHelp can I access my UK Amazon video purchases over wifi whilst abroad because they're ones I actually bought?,"@179936 HI, Use this reference for guidance:  https://t.co/GhKcSL8rOl and safe travels! ^CH"
1599623,"@120533 vous commencez a me casser le pieds...Vous faites rien quand je me fais pirater, et c'et moi qui passe commande, vous me bloquez ?","@491196 Bonsoir, votre compte est-il suspendu pour le moment ? Avez-vous reçu un e-mail expliquant la situation ? ^MH"
471579,"@120533 et comme d’habitude les colis sont ouverts, enfoncés,.... quand est ce que vous confiez les produits à des vrais livreurs et pas des sans cervelle ? Meme avec un piano en photo sur le carton, y a aucun soins ! https://t.co/YoBoXpQ8D6","@227290 Bonjour, Je suis sincèrement navré pour ce désagrément. L'avez-vous signalé à notre service?
^YL"
1013754,@AmazonHelp My Amazon Prime packages don't come on time!,@359872 This certainly isn't what we like to hear! What's the current tracking info for your order here: https://t.co/Y5jpI9gRhE ^HC
281675,@14249 Hello. What’s the best way for me to contact you to discuss my account? Thanks.,"@155630 Hi Joe, you can reach out via this link - https://t.co/JzP7hlA23B ^TP"
2307813,Was ordering a $9 wireless mouse from amazon 2 nights ago and either paid $53 for 1-day shipping or by accidentally signed up for amazon prime. Either way mom is pissed,"@669447 Hi there, sorry to hear about the unknown charge! If it's a Prime membership charge, you can cancel this for a prorated refund here: https://t.co/dAyYZhCfM4 

If not, and the charge is coming from Amazon, we can look into it with you here: https://t.co/hApLpM3Ejd ^DW"
237375,@AmazonHelp  heyy any news on draws updates ?,"@172527 The results are out and you can find the winner's list, here: https://t.co/FJpTQ7f8Ch ^MA"
2503558,"@115821 could you train your logistics drivers to stop putting packages right in front of security and screen doors. Not only can anyone walking down the street easily spot them, I also must push the box out of the way with my door just to get out.",@714020 I'm sorry we keep blocking your door. We'd like to pass your feedback along to our Logistics team so this can be addressed. Please provide your order details for us here: https://t.co/X9Pudl99zF ^MB
512397,@115830 your customer service used to be so good and on the ball.  Why break something that worked so well?  Friday night well and truly wasted and issue still not resolved - shockingly poor service with nobody taking responsibility or not empowered to do so.  Complaint inbound,"@237836 I'm sorry for the poor experience, David! That's not how we want our customers to feel! Do you mind elaborating a little more about what's going on? ^LA"
592173,S/O to @115821 for Sunday deliveries,@260141 Glad we could help!  Thanks for the shout out! :) ^AZ
786167,"Secondo @120540 le mie recensioni non sono pubblicabili, seguo le loro linee guida ma dicono sempre di no.. e sarebbero pure positive bha",@307543 Per maggiori info scrivi una e-mail al Servizio Clienti che la trasferirà al team competente: https://t.co/682YyU2Z5B. ^CS
34515,@115830 I don’t think I ordered this with my headphone jack.. 🤢🤢 https://t.co/aJbEVjQO3y,@123480 I'm so sorry for the troubling experience! Is the product still in okay condition? Please let us know. ^MJ
1372742,@115821 why do i pay for 2 day shipping with prime if my package isn't actually going to be delivered on time?,@439481 So sorry! Did we miss the estimated delivery date provided during check out? You can check here https://t.co/Y5jpI9gRhE ^LS
293798,"Is there a way to make my @115821 deliveries UPS only and not Amazon courier? UPS has mail key to my apartment, courier does not...","@185996 I'm sorry for any inconvenience this may cause, Rachel, but we cannot specify which carrier to use for deliveries. ^FR"
1263955,"So if I pre-ordered something while I was an Amazon Prime member, but I'm not on release, does that affect my preorder ship time?",@415992 The delivery date would remain the same as the date you were provided in your order confirmation e-mail. ^ZW
333546,@115830 Waited all day for my delivery &amp; nothing yet. What’s the point in paying for next day if it doesn’t come!? Tracking - Q60926380104,@195464 We're not able to access order details via Twitter. Have we missed our expected delivery date?  https://t.co/aaDyEz1VgE ^JE
43708,アマゾンプライムビデオ有能 https://t.co/QvEgdgeta0,"@125696 |ω・)
嬉しいお言葉、ありがとうございます！！
これからも有能と言われるようにがんばります d(๑¯꒳¯๑)b TY"
2313979,@117086 não me responde.,"@671006 Olá! Me diga, como podemos lhe ajudar? ^HC"
1270963,Vaya timada me han pegado desde @116928 te ponen una foto en el artículo y lo que te mandan es una puta mierda. Como lo permiten? https://t.co/g4TVjkf3B0,"@417575 Hola, lamento cualquier molestia ocasionada. ¿El pedido era gestionado por Amazon o por un vendedor independiente? ^KS"
782539,@115850 kindly refund my money  order #404-9907668-2959526,"@306778 Please don't provide your order details,we consider it to be personal information.Our page is visible to the public.2/2 ^SC @306778 Hi! I understand your concern.Please contact us here: https://t.co/rS49hgaADF so that we can assist you accordingly.1/2 ^SC"
2756096,"@115821 Shopping for a 144hz g-sync monitor on your website is the most infuriating experience. When I search the specific keywords, monitors without g-sync are coming up. Please for the love of god let me refine my search to '144hz and g-sync' as those are not options currently.","@771386 Hey Joeguertin, thanks for the feedback! I've forwarded your thoughts to our web team. If you need personal assistance with your search, we're available 24/7 at 
 https://t.co/hApLpMlfHN. ^PF"
845689,@115821 - I didn’t realize that you hired account ‘spiritualists’ to handle account issues. Interesting #Amazon #myaccountsbeenhaked https://t.co/Tex56PK36S,@321014 I'm sorry for the miscommunication. Please keep us updated on the response from our Account Specialists. ^JP
285088,"@AmazonHelp hi, my account has been blocked a long time ago and he still is, can you help pls","@183921 Hello, did you receive any email about this asking you to send us some documents ?"
1301828,"So now that my @115821 order is being returned to sender, am I refunded or are they resending it? SO. ANNOYING. EITHER. WAY.",@168685 Thanks for reaching out! Please contact us here: https://t.co/hApLpM3Ejd so we can look into this with you. ^LH
2543867,"Amiibo bien reçu de @120533 grâce à ton bon plan @136301 
Merci encore 😊😊😊 https://t.co/5yNialFBjv",@723153 Ah super ! 😍 ^SB
1220881,"I paid one day shipping for my 
pre-workout but now it may not arrive for 3-4 days @115821 @AmazonHelp","@406469 Oh no, Kenya! Can you confirm the estimated delivery date in the email confirmation for me? ^LA"
301090,Can we all just agree to teh fact that @115821 has the worst possible interface for it's prime offering. Absolutely ludicrous.,"@187807 That's quite a remark. We'd like to help, could you let us know what went wrong? ^MA"
2694952,I tried @115821 prime years ago for 30 days before the student offer or music service existed but now I'm unable to trial it but keeps being displayed on homepage.,@757358 That's odd! What device are you using to access the page? ^TR
1547601,@115850 ordered original and delivered non genuine product twice. Though i got refund but its not good business practice. https://t.co/atCcN4MujY,"@479146 Please don't provide your order details, we consider it personal information. Our Twitter page is visible to public. ^HA @479146 I'm sorry about the trouble with the order. I've shared your feedback with the concerned team for review. ^HA"
2847391,#CyberMondayEnAmazon @116875 tengo una duda: ¿Sí llegará? https://t.co/Z2ZUwMZ8E2,@791905 Hola. Lamentamos los inconvenientes con tu pedido. Cualquier actualización será debidamente informada a tu correo electrónico. ^HC
2569395,"@AmazonHelp if I knew how long it’ll take to deliever COD would of gone to work for 11hrs,come 🏠,walked to shops &amp; still got it quicker. WTF",@728741 Sorry for the wait! What does the latest order status show here: https://t.co/aaDyEz1VgE ? ^TH
304382,@AmazonHelp I preordered Shadow of War gold edition with two day shipping so I'd get it day one and now it says it won't come until the 12th,@188694 I'm sorry for the wait! Were you given a reason for the delay: https://t.co/Y5jpI9gRhE? ^DW
1322911,"OK . where is my product . why are you canceling my orders scenes September 2016 
suffering from @115850 https://t.co/M1xjuVgrra","@428543 We understand your discomfort here. Like mentioned earlier, we notify the reason for cancellation via mail. ^JC"
2590199,@115821 why do I bother paying for prime membership if the last 4 orders I placed can’t get to me when u “guarantee”?,"@733678 Hello, Mark. I'm sorry for the recent delivery issues that you've been having. Have you been having this issue with a particular carrier? You can find that info here: https://t.co/Y5jpI9gRhE   ^FJ"
1396587,coucou @120533 il faut que nous parlions en DM merci 🤗,"@444767 Bonjour Julien, je vous invite à initier la conversation en DM."
2137871,@AmazonHelp Subscribe and Save feedback: just cancelled an item because I can't have different items scheduled to be delivered on different dates.,@142554 We're always looking to improve! Please reach out to us to provide your feedback: https://t.co/hApLpMlfHN ^JP
2149541,"@115821 prime order has officially been messed up twice, and I️ have been lied to about a “guaranteed” arrival date both by phone and app.",@631760 I'm sorry for the bad experience. Without providing any personal information could you tell us more on what's going on? ^AY
1408133,"@120533 Bjr, j'ai reçu une protection écran d'iPhone 7 à mon nom alors que je n'ai rien commandé.. 🤔 Pourquoi ? Qu'est-ce qu'il se passe ?","@447295 Bonsoir,
Est-ce votre nom qui est indiqué sur le colis?
^MD"
2850682,"@AmazonHelp I’m on my phone so am unable to get URL address. The orders that are in a mess are? 7166, 9915, 9946 and 7166. I need to what is going on, and where they are. The carriers claims delivery, but don’t have them. There’s more than that","@791507 Here you go : https://t.co/L5eQfqaKK0 Please copy, paste this link in space of URL and fill in the rest of the details. You should be able to submit the details. Do keep us posted. ^SV"
2384585,@115850  i ordered apc ups &amp; the product delivered widout Amazon pcking &amp; protection &amp; product is also defective.ur cc refusd to refund https://t.co/T4XuzcQEY7,@687304 I'm sorry for the trouble. You can create a replacement here: https://t.co/3yqvLnyTxi ^RW
326341,@115850 Do you teach your Escalations executive to be rude?,@193747 I'm sorry for the unpleasant experience. Could you let us know what went wrong? ^HA
1484339,@AmazonHelp u guys charged me $84 for an item twice . What's good fam,@464695 I'm sorry for the trouble. When you look at your orders here: https://t.co/Y5jpI9gRhE are you seeing the order twice? ^AY
1165669,"@116316 Hey I need some help, how do I contact customer support?",@394183 Please use this link: https://t.co/ohyvGrpvrY My colleagues are pleased to assist you. ^DS
544436,@115821 hate to bitch during 🎄 but super frustrating to get screwed an undelivered 📦 and cust. service not being able to fix in time 😠,"@246494 I hate to hear you've had a frustrating experience with us! We'd like to help! Without account details, could you let us know what's happened? ^TK"
546520,Ugh just so incredibly disappointed in @115821,"@247081 I'm sorry to hear this. Without posting account information, can you tell us more about the issue? ^LI"
547937,@AmazonHelp please stop using Hermes. They are absolutely awful. Two attempts at delivering a package and both failed.,@247489 I'm sorry to hear this. Have you had a chance to contact them directly regarding this? You can find their contact information here: https://t.co/tYkxOOlykX ^GR
333179,Past 3 days can't order #AmazonIndia rubbish https://t.co/urP8TvcP5s,@195356 The delivery is currently unavailable at the selected address. Kindly place the order at an alternate address. ^ZH
2343989,Petit souci sur l’app iOS @AmazonHelp ? https://t.co/y0dZaCWR6V,"@677889 Bonjour, désolée d'apprendre cela, avez-vous essayé de la désinstaller et le réinstaller?^FT"
2105841,"@115821 guarantee by Tuesday means nothing, what a joke. Now they are saying they have no idea when it will be delivered, great guarantee.","@519716 Sorry to hear about this delay, what does your latest tracking say?  https://t.co/Y5jpI9gRhE ^MI"
1620635,@147807 I have ordered products through AmazonBusiness.in on 8/10/2017. Still I haven't got products. 406-5271391-1218758,"@496688 Please don't provide your order details, we consider it to be personal information. Our page is visible to the public.(2/2) ^GD @496688 I'm sorry about the delay. Kindly report this to our support team here: https://t.co/mqxFld6Zpj for assistance. (1/2)"
